 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    83.0,    88.8,    0.31,    0.22,  0.00,   359.5,    -1.0,     1.0
    2, 194.549, 194.649,    85.7,    84.0,    0.28,    0.25,  0.00,   359.5,    -1.1,     0.8
    3, 194.649, 194.749,    88.0,    91.2,    0.28,    0.25,  0.00,   359.6,    -1.1,     1.0
    4, 194.749, 194.849,    82.6,    74.1,    0.31,    0.19,  0.00,   359.5,    -1.1,     1.1
    5, 194.849, 194.949,    74.4,    82.3,    0.30,    0.21,  0.00,   359.5,    -1.0,     1.0
    6, 194.949, 195.049,    81.5,    91.9,    0.31,    0.23,  0.00,   359.5,    -0.7,     1.1
    7, 195.049, 195.149,   104.5,   116.7,    0.29,    0.18,  0.00,   359.6,    -0.5,     1.2
    8, 195.149, 195.249,    87.9,    90.6,    0.28,    0.19,  0.00,   359.5,    -0.5,     1.2
    9, 195.249, 195.349,    98.8,    94.5,    0.22,    0.20,  0.00,   359.6,    -0.5,     1.3
   10, 195.349, 195.449,    63.5,    68.3,    0.11,    0.07,  0.00,   359.4,    -0.5,     1.3
   11, 195.449, 195.549,    59.6,    51.4,    0.12,    0.08,  0.00,   359.6,    -0.5,     1.6
   12, 195.549, 195.649,    75.0,    74.1,    0.11,    0.12,  0.50,   359.5,    -0.8,     1.5
   13, 195.649, 195.749,    72.6,    77.4,    0.16,    0.11,  0.00,   359.5,    -0.9,     1.4
   14, 195.749, 195.849,    44.3,    47.1,    0.14,    0.06,  0.00,   359.5,    -1.0,     1.4
   15, 195.849, 195.949,    48.3,    51.6,    0.13,    0.06,  0.00,   359.5,    -0.9,     1.3
   16, 195.949, 196.049,    53.3,    48.2,    0.13,    0.07,  0.00,   359.6,    -0.8,     1.4
   17, 196.049, 196.149,    54.9,    49.1,    0.10,    0.09,  0.00,   359.6,    -0.7,     1.7
   18, 196.149, 196.249,    51.2,    48.2,    0.11,    0.10,  0.00,   359.4,    -0.8,     1.8
   19, 196.249, 196.349,    56.2,    53.5,    0.11,    0.09,  0.00,   359.6,    -0.3,     1.8
   20, 196.349, 196.449,    54.3,    57.2,    0.10,    0.12,  0.00,   359.6,     1.4,     2.0
   21, 196.449, 196.549,   115.9,    85.3,    0.09,    0.11,  0.00,   359.5,    -0.3,     1.8
   22, 196.549, 196.649,    50.6,    51.6,    0.12,    0.07,  0.00,   359.5,    -2.3,     2.1
   23, 196.649, 196.749,    52.8,    51.5,    0.11,    0.09,  0.00,   359.5,    -2.8,     2.1
   24, 196.749, 196.849,    49.5,    56.0,    0.10,    0.08,  0.00,   359.5,    -1.5,     2.4
   25, 196.849, 196.949,    61.3,    49.8,    0.09,    0.07,  0.00,   359.5,    -1.1,     2.2
   26, 196.949, 197.049,    53.7,    51.8,    0.10,    0.08,  0.00,   359.6,    -1.1,     2.2
   27, 197.049, 197.149,    63.4,    66.9,    0.09,    0.07,  0.00,   359.4,    -1.1,     2.2
   28, 197.149, 197.249,    58.0,    50.9,    0.10,    0.07,  0.00,   359.5,    -1.2,     2.1
   29, 197.249, 197.349,    48.6,    52.1,    0.10,    0.10,  0.00,   359.5,    -1.2,     2.1
   30, 197.349, 197.449,    61.8,    45.9,    0.09,    0.09,  0.00,   359.5,    -1.1,     2.1
   31, 197.449, 197.549,    54.8,    45.5,    0.09,    0.08,  0.00,   359.5,    -1.0,     1.8
   32, 197.549, 197.649,    52.0,    51.5,    0.09,    0.08,  0.00,   359.7,    -0.7,     2.0
   33, 197.649, 197.749,    49.4,    49.8,    0.10,    0.10,  0.00,   359.5,    -0.7,     2.2
   34, 197.749, 197.849,    51.9,    66.5,    0.10,    0.10,  0.00,   359.5,    -0.7,     2.3
   35, 197.849, 197.949,    58.8,    61.9,    0.10,    0.10,  0.00,   359.5,    -0.7,     2.3
   36, 197.949, 198.049,    51.5,    51.5,    0.10,    0.09,  0.00,   359.5,    -0.8,     2.2
   37, 198.049, 198.149,    58.5,    51.5,    0.10,    0.10,  0.00,   359.5,    -0.7,     2.3
   38, 198.149, 198.249,    54.8,    50.8,    0.10,    0.11,  0.00,   359.5,    -0.6,     2.0
   39, 198.249, 198.349,    57.1,    57.5,    0.10,    0.09,  0.00,   359.6,    -0.5,     2.2
   40, 198.349, 198.449,    60.4,    51.5,    0.10,    0.09,  0.00,   359.5,    -0.5,     2.3
   41, 198.449, 198.549,    50.9,    49.8,    0.11,    0.12,  0.00,   359.5,    -0.5,     2.4
   42, 198.549, 198.649,    46.2,    51.6,    0.12,    0.11,  0.00,   359.5,    -0.5,     2.3
   43, 198.649, 198.749,    50.2,    47.3,    0.12,    0.12,  0.00,   359.5,    -0.6,     2.2
   44, 198.749, 198.849,    51.5,    48.1,    0.11,    0.10,  0.00,   359.5,    -0.6,     2.1
   45, 198.849, 198.949,    54.4,    50.1,    0.12,    0.11,  0.00,   359.6,    -0.6,     2.2
   46, 198.949, 199.049,    40.0,    48.8,    0.12,    0.12,  0.00,   359.5,    -0.6,     2.3
   47, 199.049, 199.149,    50.5,    54.5,    0.11,    0.10,  0.00,   359.4,    -0.7,     2.2
   48, 199.149, 199.249,    50.2,    46.5,    0.09,    0.07,  0.00,   359.5,    -0.8,     1.9
   49, 199.249, 199.349,    56.0,    73.0,    0.09,    0.08,  0.00,   359.6,    -0.7,     1.9
   50, 199.349, 199.449,    61.6,    68.8,    0.08,    0.07,  0.00,   359.5,    -0.3,     1.7
   51, 199.449, 199.451,    60.5,    47.4,    0.10,    0.11,  0.00,   359.6,    -0.2,     1.8
