 Line,                     Road, Set,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
    1,            Interstate 15,  54, 194.449, 194.549,    80.0,    90.5,    0.26,    0.20,   359.4,     2.0,     1.1
    2,            Interstate 15,  54, 194.549, 194.649,    83.8,    88.8,    0.27,    0.23,   359.5,     1.7,     0.9
    3,            Interstate 15,  54, 194.649, 194.749,    91.5,    87.4,    0.28,    0.23,   359.5,     1.5,     1.1
    4,            Interstate 15,  54, 194.749, 194.849,    84.3,    79.5,    0.32,    0.18,   359.6,     1.2,     1.3
    5,            Interstate 15,  54, 194.849, 194.949,    76.4,    83.9,    0.31,    0.19,   359.5,     1.0,     1.1
    6,            Interstate 15,  54, 194.949, 195.049,    85.1,    89.5,    0.31,    0.22,   359.6,     1.2,     1.2
    7,            Interstate 15,  54, 195.049, 195.149,   103.5,   122.6,    0.29,    0.17,   359.5,     1.1,     1.3
    8,            Interstate 15,  54, 195.149, 195.249,    81.2,    93.3,    0.27,    0.18,   359.5,     0.9,     1.3
    9,            Interstate 15,  54, 195.249, 195.349,    94.9,    95.9,    0.22,    0.19,   359.5,     0.7,     1.3
   10,            Interstate 15,  54, 195.349, 195.449,    62.6,    73.7,    0.10,    0.07,   359.5,     0.6,     1.4
   11,            Interstate 15,  54, 195.449, 195.549,    56.4,    54.7,    0.11,    0.08,   359.6,     0.5,     1.6
   12,            Interstate 15,  54, 195.549, 195.649,    72.7,    70.3,    0.11,    0.09,   359.5,     0.1,     1.6
   13,            Interstate 15,  54, 195.649, 195.749,    78.9,    78.5,    0.15,    0.09,   359.5,    -0.1,     1.4
   14,            Interstate 15,  54, 195.749, 195.849,    54.7,    48.5,    0.12,    0.08,   359.5,    -0.2,     1.4
   15,            Interstate 15,  54, 195.849, 195.949,    48.3,    49.4,    0.10,    0.08,   359.4,    -0.2,     1.3
   16,            Interstate 15,  54, 195.949, 196.049,    53.6,    45.6,    0.12,    0.07,   359.5,    -0.1,     1.4
   17,            Interstate 15,  54, 196.049, 196.149,    54.3,    48.5,    0.10,    0.08,   359.6,    -0.1,     1.6
