Fips,State,County,Total_Population,Total_Male,Total_Female,Total_Population_Under_5_years_Percent,Male_Population_Under_5_years_Percent,Female_Population_Under_5_years_Percent,Total_Population_5_to_9_years_Percent,Male_Total_population_5_to_9_years_Percent,Female_Total_Population_5_to_9_years_Percent,Total_Population_10_to_14_years_Percent,Male_Total_Population_10_to_14_years_Percent,Female_Total_Population_0_to_14_years_Percent,Total_Population_15_to_19_years_Percent,Male_Total_Population_15_to_19_years_Percent,Female_Total_Population_15_to_19_years_Percent,Total_Population_20_to_24_years_Percent,Male_Total_Population_20_to_24_years_Percent,Female_Total_Population_20_to_24_years_Percent,Total_Population_25_to_29_years_Percent,Male_Total_Population_25_to_29_years_Percent,Female_Total_Population_25_to_29_years_Percent,Total_Population_30_to_34_years_Percent,Male_Total_Population_30_to_34_years_Percent,Female_Total_Population_30_to_34_years_Percent,Total_Population_35_to_39_years_Percent,Male_Total_population_35_to_39_years_Percent,Female_Total_Population_35_to_39_years_Percent,Total_Population_40_to_44_years_Percent,Male_Total_Population_40_to_44_years_Percent,Female_Total_Population_40_to_44_years_Percent,Total_Population_45_to_49_years_Percent,Male_Total_Population_45_to_49_years_Percent,Female_Total_Population_45_to_49_years_Percent,Total_population_50_to_54_years_Percent,Male_Total_Population_50_to_54_years_Percent,Female_Total_Population_50_to_54_years_Percent,Total_Population_55_to_59_years_Percent,Male_Total_Population_55_to_59_years_Percent,Female_Total_Population_55_to_59_years_Percent,Total_Population_60_to_64_years_Percent,Male_Total_Population_60_to_64_years_Percent,Female_Total_Population_60_to_64_years_Percent,Total_Population_65_to_69_years_Percent,Male_Total_population_65_to_69_years_Percent,Female_Total_Population_65_to_69_years_Percent,Total_Population_70_to_74_years_Percent,Male_Total_Population_70_to_74_years_Percent,Female_Total_Population_70_to_74_years_Percent,Total_Population_75_to_79_years_Percent,Male_Total_Population_75_to_79_years_Percent,Female_Total_Population_75_to_79_years_Percent,Total_Population_80_to_84_years_Percent,Male_Total_Population_80_to_84_years_Percent,Female_Total_Population_80_to_84_years_Percent,Total_population_85_years_and_over_Percent,Male_Total_Population_85_years_and_over_Percent,Female_Total_Population_85_years_and_over_Percent,Positives,Positives_Per_100_000,Deaths,Deaths_Per_100_000,HousingUnits,Median_income_2_earners,People_Living_with_Income_Assistance_Percent,Estimate_Population_16_years_and_over_In_labor_force_Percent,Agriculture_forestry_fishing_and_hunting_and_mining_Percent,Construction_Percent,Manufacturing_Percent,Wholesale_trade_Percent,Retail_trade_Percent,Transportation_and_warehousing_and_utilities_Percent,Information_Percent,Finance_and_insurance_and_real_estate_and_rental_Percent,Professional_scientific_and_management_and_administrative_Percent,Educational_services_and_health_care_and_social_assist_Percent,Arts_entertainment_and_recreation_and_accommodation_Percent,Other_services_except_public_admin_Percent,Public_administration_Percent,Private_wage_and_salary_workers_Percent,Government_workers_Percent,Self_employed_Percent,Unpaid_family_workers_Percent,With_health_insurance_coverage_Percent,No_health_insurance_coverage_Percent,With_a_disability_White_Percent,With_a_disability_Black_or_African_American_Percent,With_a_disability_American_Indian_and_Alaska_Native_Percent,With_a_disability_Asian_Percent,With_a_disability_Native_Hawaiian_and_Other_Pacific_Islander_Percent,With_a_disability_Some_other_race_Percent,With_a_disability_Two_or_more_races_Percent,With_a_disability_Hispanic_or_Latino_Percent,White_Males_Percent,White_Females_Percent,African_American_Males_Percent,African_American_Females_Percent,American_Indian_Male_Percent,American_Indian_Female_Percent,Asian_Male_Percent,Asian_Female_Percent,Native_Hawaiian_or_Pacific_Islands_Male_Percent,Native_Hawaiian_or_Pacific_Islands_Female_Percent,Two_Or_More_Races_Male_Percent,Two_Or_More_Races_Female_Percent
1003,Alabama,Baldwin,218022,105657,112365,5,5.1,4.9,4.3,4.2,4.4,8.3,9.6,7.1,6.2,6.1,6.3,4.8,4.8,4.7,5.5,5.4,5.5,5.3,5.6,5.1,5.9,6.4,5.5,6,5.6,6.4,6.9,6.9,6.9,6.9,6.9,7,7.6,7.4,7.7,6.9,6.7,7.1,5.8,5.3,6.2,6.7,6.8,6.6,4.2,4.1,4.3,2,2,2,1.8,1.3,2.2,376,172.46,9,4.13,116432,96451,4.11,60,1.1,10.9,8.3,2.3,14.5,5.1,1.7,6.4,11.2,17.9,10.5,5,5.2,79.5,11.4,8.6,0.4,86.8,13.2,11.55,2.01,,,,,,0.32,87.52,87.06,8.9,8.98,0.84,0.71,0.88,1.4,0.07,0.06,1.79,1.78
1015,Alabama,Calhoun,114277,54914,59363,6.2,6.9,5.7,6.3,6.7,5.9,5.2,5.4,5,6.5,7.2,5.7,6.5,6.5,6.6,7.5,7.9,7.2,6.7,6.4,6.9,5,5.1,4.8,6.1,6.1,6,5.5,5.4,5.5,6.4,6.7,6.2,7.3,7.5,7,6.9,6.3,7.4,5.9,5.5,6.2,4.8,4.5,5.1,4.1,3.7,4.5,1.6,1.2,1.9,1.5,0.7,2.3,198,173.26,3,2.63,53732,83503,9.21,57.9,1.2,6.4,17.5,2.9,13.3,4.1,1.7,3.6,8,20.3,8.5,5.9,6.6,77.7,16.2,6,0.1,91.6,8.4,16,3.79,,,,,,0.36,76.04,74.57,20.45,21.77,0.58,0.51,0.79,1.12,0.11,0.11,2.02,1.92
1043,Alabama,Cullman,83442,41245,42197,6.4,6,6.8,5.8,5.2,6.2,6.3,7.4,5.2,6.3,6.5,6.1,5.4,5.2,5.6,6.5,6.4,6.6,5.8,6.2,5.4,6.8,8.4,5.3,5.3,4,6.6,6.2,6.2,6.1,6.8,7.7,6,6.5,5.9,7.1,7.3,7.5,7.1,5.2,5.4,5.1,5.7,5.3,6,3.3,2.9,3.7,3.4,2.8,3.9,1,0.7,1.3,258,309.2,1,1.2,38048,78167,6.3,56.2,1.6,10.4,17.2,4.1,11.9,8.7,0.3,2.7,7.1,20.2,7.9,5.6,2.1,79.5,9.1,11.4,0,89.9,10.1,20.8,,,,,,,,95.8,95.91,1.49,1.19,0.65,0.64,0.52,0.82,0.09,0.09,1.45,1.35
1049,Alabama,DeKalb,71385,35428,35957,5.6,6.8,4.4,5.4,5.5,5.3,8.6,9,8.2,7.1,8.1,6.1,5.8,5.4,6.3,5.7,6.3,5.2,6.4,4.9,7.8,5.9,5.6,6.1,5.7,6.1,5.4,7.1,8.2,5.9,6.3,6.1,6.5,6.4,4,8.6,6.9,8.5,5.3,5.6,5.6,5.5,4.8,4.3,5.2,2.7,3.3,2,2,1.6,2.4,2.2,0.6,3.7,315,441.27,5,7,31450,66164,8.68,53.5,2.4,7.7,26.3,0.4,11.5,9.6,0.8,4.7,2.4,18,8.2,7.1,0.9,77.7,11.2,11.1,0.1,86.2,13.8,13.27,,,,,,,,92.43,93,1.9,1.81,2.08,1.98,0.54,0.49,0.71,0.57,2.34,2.15
1051,Alabama,Elmore,81887,39585,42302,6.4,6.7,6.1,5.4,6.9,4.1,6.1,6.6,5.6,6.8,6.8,6.7,5.9,6.2,5.7,8,7.7,8.3,6.8,7.1,6.5,6.7,7.5,5.9,5.7,4.9,6.4,6.3,5.9,6.7,7.9,7.4,8.5,6.6,6,7.1,6.4,6.6,6.3,4.6,4.4,4.8,4.6,4.8,4.4,2.8,1.8,3.7,1.8,1.4,2.1,1.2,1.4,1,515,628.92,10,12.21,34347,83334,3.25,55.8,2,10.2,10.3,1.6,9.9,5.2,1,3.5,6.8,23.8,10.5,4.8,10.3,77.3,18.4,3.8,0.6,89.8,10.2,14.29,1.56,,,,,,,75.16,75.76,21.82,21.12,0.57,0.47,0.66,0.76,0.13,0.11,1.67,1.78
1055,Alabama,Etowah,102501,49653,52848,6,6.1,5.8,6.5,6.8,6.3,5.5,5.5,5.6,5.4,5.7,5.1,6.9,7.8,6.1,6.5,6.7,6.3,5.5,4.9,6,6.6,7.6,5.6,5.3,4.7,5.9,6.8,7.1,6.5,6.3,6.3,6.3,5.8,5.5,6.1,7.7,7.9,7.5,6.3,6.9,5.8,4.9,3.9,5.8,4,4,4.1,1.7,1.3,2.1,2.1,1.1,3.1,306,298.53,12,11.71,47800,83926,5.86,56.4,0.8,5.9,20.1,2.4,12.8,4.6,1.4,3,5.8,22.2,8.5,6.7,5.8,81.9,13.3,4.8,0,90.5,9.5,14.8,2.45,,,,,,,81.2,80.38,15.14,16.23,0.69,0.54,0.87,0.79,0.35,0.27,1.75,1.79
1069,Alabama,Houston,104722,50286,54436,6.1,6.7,5.6,6,6.8,5.3,6.7,7.2,6.3,6.3,6.6,6,5.9,6,5.8,6.6,6.5,6.7,6.5,6.8,6.3,5.5,5.6,5.3,6.6,6.1,7,6.3,6.1,6.4,6.4,6.5,6.3,6.4,6.4,6.3,6.7,6.5,6.9,5.8,5.5,6.1,4.7,4.4,5,3.6,2.8,4.2,2.1,1.9,2.3,1.8,1.4,2.1,303,289.34,5,4.77,47799,84283,5.86,57.4,0.6,6,9.5,3.3,13.9,7.6,1.2,4.1,8.1,23.3,12.4,4.8,5.2,80,12.9,7.1,0.1,88.8,11.2,11.4,4.42,,,,,0.16,0.18,69.92,68.27,26.45,27.9,0.52,0.56,0.91,1.2,0.08,0.1,2.12,1.96
1073,Alabama,Jefferson,659300,311591,347709,6.3,6.7,6,6.5,7.1,5.9,6.2,6.6,5.8,6.2,6.6,5.9,6.3,6.6,6,7.6,7.8,7.5,6.9,6.9,6.8,6.4,6.8,6,6.4,6.2,6.6,6,6,6.1,6.2,6.1,6.3,6.3,6.3,6.2,6.9,6.5,7.3,5.7,5.7,5.6,3.7,3.2,4.2,2.7,2.2,3.2,2,1.6,2.4,1.8,1.3,2.2,2444,370.7,118,17.9,308900,96342,7.06,60.7,0.6,5.6,9.5,3.1,11,5.9,1.8,8.8,11.9,24.2,8.8,4.9,4,82.8,12.4,4.7,0.1,90.6,9.4,6.68,7.32,,0.11,,,0.23,0.25,54.64,51.83,41.96,44.79,0.3,0.28,1.78,1.76,0.04,0.07,1.28,1.27
1077,Alabama,Lauderdale,92387,44327,48060,5.3,5.5,5.1,4.8,6.7,3,5.9,5.8,6.1,6.5,7.4,5.6,7.7,7.4,8,6.8,7.1,6.5,5.4,5.3,5.6,6.1,7,5.2,4.8,4.2,5.4,6.3,5.9,6.6,6.4,6.8,6,7.7,7,8.4,6.2,6.2,6.2,6.2,5,7.3,5.1,5.5,4.6,3.3,2.6,4,3.1,3.1,3.1,2.3,1.5,3.2,232,251.12,4,4.33,45457,80801,4.49,57.8,0.5,6.7,15.7,2.2,16.5,6.3,0.2,3.6,8.4,21.5,12.6,2.9,2.9,77.8,16.5,5.5,0.2,91.7,8.3,11.88,1.43,,,,,,,87.3,86.69,9.62,10.47,0.5,0.41,0.75,0.78,0.06,0.05,1.78,1.59
1081,Alabama,Lee,163941,80639,83302,5.3,5.8,4.9,4.8,5.1,4.6,8,8.7,7.3,8.6,8.5,8.7,13.7,14.7,12.7,7,6.7,7.4,6.1,5.8,6.4,5.5,5.7,5.3,6,5.8,6.2,5.8,5.3,6.3,6.2,6.6,5.8,5,5.2,4.9,5.7,4.9,6.4,4.6,4.5,4.7,3.5,3.3,3.8,1.4,1.5,1.4,1.5,1.4,1.6,1.1,0.6,1.6,677,412.95,35,21.35,70151,100179,4.73,59.5,0.4,6.3,13.2,1.8,12.3,5.9,1.4,5.3,8.9,27.5,8.3,5,3.7,77.9,17.6,4.4,0.1,92.2,7.8,11.13,2.98,,,,,,0.86,71.61,69.56,21.64,24.49,0.42,0.33,4.51,3.88,0.1,0.08,1.72,1.66
