Candidate_id,Candidate_Entity_ID,General_Party_ID,Election_Type,Office_Sought,Broad_Sector,Incumbency_Status,Election_Year,Industry_Spending_Totals,Status_of_Candidate,Status_of_Candidate,Candidate,Election_Status,General_Party,Election_Type,Office_Sought,Incumbency_Status,Broad_Sector
82901,6398792,1,1,9169,6,2,2002,10845112,1,Won,"DAVIS, GRAY",Won-General,Democratic,Standard,GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,6,2,2006,10721098,1,Won,"SCHWARZENEGGER, ARNOLD",Won-General,Republican,Standard,GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
33014,48993,2,1,9169,6,3,2002,8724544,2,Lost,"SIMON JR, WILLIAM E (BILL)",Lost-General,Republican,Standard,GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
65375,29169,2,1,9169,6,1,2010,8542810,2,Lost,"WHITMAN, MARGARET C (MEG)",Lost-General,Republican,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,6,1,1998,5740965,2,Lost,"LUNGREN, DANIEL E",Lost-General,Republican,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
223744,312332,1,1,9169,6,1,2018,5263837,1,Won,"NEWSOM, GAVIN",Won-General,Democratic,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
82904,728939,1,1,9174,6,2,2002,4817626,1,Won,"ANGELIDES, PHIL",Won-General,Democratic,Standard,TREASURER,Incumbent,"Finance, Insurance & Real Estate"
58340,728939,1,1,9169,6,3,2006,4765693,2,Lost,"ANGELIDES, PHIL",Lost-General,Democratic,Standard,GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
103467,6398792,1,1,9169,6,1,1998,4698406,1,Won,"DAVIS, GRAY",Won-General,Democratic,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
2589,12996620,2,1,9169,6,1,2002,4186755,2,Lost,"RIORDAN, RICHARD J",Lost-Primary,Republican,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
82901,6398792,1,1,9169,8,2,2002,3793114,1,Won,"DAVIS, GRAY",Won-General,Democratic,Standard,GOVERNOR,Incumbent,Health
123398,70023,1,1,9169,6,1,2010,3605420,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
84766,2138468,2,1,9169,6,1,2003,2799581,1,Won,"SCHWARZENEGGER, ARNOLD",Won-General,Republican,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
15265,27541,1,1,9169,6,1,2006,2726720,2,Lost,"WESTLY, STEVEN P",Lost-Primary,Democratic,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,2,2,2006,2420916,1,Won,"SCHWARZENEGGER, ARNOLD",Won-General,Republican,Standard,GOVERNOR,Incumbent,Construction
167906,70023,1,1,9169,6,2,2014,2261308,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
