ID,Candidate_id,Candidate_Entity_ID,General_Party_ID,Election_Type,Office_Sought,Broad_Sector,Incumbency_Status,Election_Year,Industry_Spending_Totals,Status_of_Candidate,Status_of_Candidate,Candidate,Election_Status,General_Party,Election_Type,Office_Sought,Incumbency_Status,Broad_Sector
1,576,6576264,2,1,616,6,1,2002,300,2,Lost,"AGUILAR, STEPHANY E",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 027,Open,"Finance, Insurance & Real Estate"
2,578,1323758,2,1,9170,8,1,2002,8950,2,Lost,"BEECHAM, NANCY",Lost-Primary,Republican,Standard,CONTROLLER,Open,Health
3,578,1323758,2,1,9170,6,1,2002,750,2,Lost,"BEECHAM, NANCY",Lost-Primary,Republican,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
4,579,6576298,2,1,604,2,1,2002,3975,2,Lost,"BLAKE, GORDON",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 015,Open,Construction
5,579,6576298,2,1,604,6,1,2002,2893,2,Lost,"BLAKE, GORDON",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 015,Open,"Finance, Insurance & Real Estate"
6,579,6576298,2,1,604,5,1,2002,425,2,Lost,"BLAKE, GORDON",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 015,Open,Energy & Natural Resources
7,579,6576298,2,1,604,8,1,2002,400,2,Lost,"BLAKE, GORDON",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 015,Open,Health
8,583,13008497,1,1,603,6,1,2002,27100,2,Lost,"BROWN, DAVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 014,Open,"Finance, Insurance & Real Estate"
9,583,13008497,1,1,603,2,1,2002,14170,2,Lost,"BROWN, DAVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 014,Open,Construction
10,583,13008497,1,1,603,8,1,2002,6975,2,Lost,"BROWN, DAVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 014,Open,Health
11,583,13008497,1,1,603,5,1,2002,600,2,Lost,"BROWN, DAVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 014,Open,Energy & Natural Resources
12,588,717012,1,1,599,6,1,2002,24650,2,Lost,"COOLEY, KEN",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 010,Open,"Finance, Insurance & Real Estate"
13,589,6379471,1,1,645,6,1,2002,2300,2,Lost,"DAVIS, BOB",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 056,Open,"Finance, Insurance & Real Estate"
14,590,6379476,1,1,637,6,1,2002,21100,2,Lost,"DAVIS, MIKE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 048,Open,"Finance, Insurance & Real Estate"
15,590,6379476,1,1,637,8,1,2002,20251,2,Lost,"DAVIS, MIKE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 048,Open,Health
16,590,6379476,1,1,637,5,1,2002,3100,2,Lost,"DAVIS, MIKE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 048,Open,Energy & Natural Resources
17,590,6379476,1,1,637,2,1,2002,600,2,Lost,"DAVIS, MIKE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 048,Open,Construction
18,592,13008610,2,1,625,6,1,2002,5225,2,Lost,"DISPENZA, MIKE A",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 036,Open,"Finance, Insurance & Real Estate"
19,592,13008610,2,1,625,8,1,2002,396,2,Lost,"DISPENZA, MIKE A",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 036,Open,Health
20,594,2508280,1,1,681,6,1,2002,6449,2,Lost,"FLORES, ARMANDO M",Lost-Primary,Democratic,Standard,SENATE DISTRICT 012,Open,"Finance, Insurance & Real Estate"
21,594,2508280,1,1,681,8,1,2002,6005,2,Lost,"FLORES, ARMANDO M",Lost-Primary,Democratic,Standard,SENATE DISTRICT 012,Open,Health
22,594,2508280,1,1,681,2,1,2002,2470,2,Lost,"FLORES, ARMANDO M",Lost-Primary,Democratic,Standard,SENATE DISTRICT 012,Open,Construction
23,595,4766782,1,1,645,6,1,2002,22025,2,Lost,"FLOWERS, SALLY ZUNIGA",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 056,Open,"Finance, Insurance & Real Estate"
24,595,4766782,1,1,645,2,1,2002,9650,2,Lost,"FLOWERS, SALLY ZUNIGA",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 056,Open,Construction
25,595,4766782,1,1,645,8,1,2002,2300,2,Lost,"FLOWERS, SALLY ZUNIGA",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 056,Open,Health
26,595,4766782,1,1,645,5,1,2002,1750,2,Lost,"FLOWERS, SALLY ZUNIGA",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 056,Open,Energy & Natural Resources
27,596,6379518,1,1,619,6,1,2002,37543,2,Lost,"GALLEGOS, DOLORES",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 030,Open,"Finance, Insurance & Real Estate"
28,596,6379518,1,1,619,8,1,2002,5250,2,Lost,"GALLEGOS, DOLORES",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 030,Open,Health
29,596,6379518,1,1,619,2,1,2002,500,2,Lost,"GALLEGOS, DOLORES",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 030,Open,Construction
30,597,6379522,1,1,637,2,1,2002,100,2,Lost,"GARCIA, ROBERTO",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 048,Open,Construction
31,599,6379546,1,1,597,8,1,2002,13350,2,Lost,"HARDY, STEVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 008,Open,Health
32,599,6379546,1,1,597,6,1,2002,7900,2,Lost,"HARDY, STEVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 008,Open,"Finance, Insurance & Real Estate"
33,599,6379546,1,1,597,2,1,2002,4100,2,Lost,"HARDY, STEVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 008,Open,Construction
34,599,6379546,1,1,597,5,1,2002,500,2,Lost,"HARDY, STEVE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 008,Open,Energy & Natural Resources
35,603,13008396,1,1,590,6,1,2002,111255,2,Lost,"JEHN, ROBERT (BOB)",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,"Finance, Insurance & Real Estate"
36,603,13008396,1,1,590,2,1,2002,13940,2,Lost,"JEHN, ROBERT (BOB)",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,Construction
37,603,13008396,1,1,590,8,1,2002,12358,2,Lost,"JEHN, ROBERT (BOB)",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,Health
38,603,13008396,1,1,590,5,1,2002,950,2,Lost,"JEHN, ROBERT (BOB)",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,Energy & Natural Resources
39,605,953883,1,1,601,8,1,2002,22400,2,Lost,"KELLY, DAN",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 012,Open,Health
40,605,953883,1,1,601,6,1,2002,3700,2,Lost,"KELLY, DAN",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 012,Open,"Finance, Insurance & Real Estate"
41,605,953883,1,1,601,2,1,2002,100,2,Lost,"KELLY, DAN",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 012,Open,Construction
42,606,13008475,1,1,599,4,1,2002,50,2,Lost,"KESTHELY JR, LOUIS J",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 010,Open,Defense
43,609,6379620,1,1,619,2,1,2002,1200,2,Lost,"MARTIN, ED",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 030,Open,Construction
44,609,6379620,1,1,619,5,1,2002,1000,2,Lost,"MARTIN, ED",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 030,Open,Energy & Natural Resources
45,609,6379620,1,1,619,6,1,2002,550,2,Lost,"MARTIN, ED",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 030,Open,"Finance, Insurance & Real Estate"
46,609,6379620,1,1,619,8,1,2002,200,2,Lost,"MARTIN, ED",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 030,Open,Health
47,610,13008676,1,1,635,6,1,2002,3650,2,Lost,"MARTIN, THOMAS RAMON",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 046,Open,"Finance, Insurance & Real Estate"
48,610,13008676,1,1,635,2,1,2002,1200,2,Lost,"MARTIN, THOMAS RAMON",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 046,Open,Construction
49,610,13008676,1,1,635,5,1,2002,500,2,Lost,"MARTIN, THOMAS RAMON",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 046,Open,Energy & Natural Resources
50,611,13008709,1,1,641,5,1,2002,3174,2,Lost,"MARTINEZ, DIANE JANET",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 052,Open,Energy & Natural Resources
51,611,13008709,1,1,641,8,1,2002,2599,2,Lost,"MARTINEZ, DIANE JANET",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 052,Open,Health
52,611,13008709,1,1,641,6,1,2002,2550,2,Lost,"MARTINEZ, DIANE JANET",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 052,Open,"Finance, Insurance & Real Estate"
53,611,13008709,1,1,641,2,1,2002,1007,2,Lost,"MARTINEZ, DIANE JANET",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 052,Open,Construction
54,612,13008397,1,1,590,2,1,2002,4400,2,Lost,"MASTIN, JIM",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,Construction
55,612,13008397,1,1,590,6,1,2002,2000,2,Lost,"MASTIN, JIM",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,"Finance, Insurance & Real Estate"
56,612,13008397,1,1,590,5,1,2002,1000,2,Lost,"MASTIN, JIM",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,Energy & Natural Resources
57,612,13008397,1,1,590,8,1,2002,450,2,Lost,"MASTIN, JIM",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 001,Open,Health
58,613,13008611,2,1,625,6,1,2002,9350,2,Lost,"MCCAULLEY, OLLIE M",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 036,Open,"Finance, Insurance & Real Estate"
59,613,13008611,2,1,625,2,1,2002,1100,2,Lost,"MCCAULLEY, OLLIE M",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 036,Open,Construction
60,613,13008611,2,1,625,8,1,2002,250,2,Lost,"MCCAULLEY, OLLIE M",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 036,Open,Health
61,614,13008882,1,1,667,6,1,2002,1355,2,Lost,"MCINTOSH, KATHLEEN",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 078,Open,"Finance, Insurance & Real Estate"
62,614,13008882,1,1,667,2,1,2002,1067,2,Lost,"MCINTOSH, KATHLEEN",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 078,Open,Construction
63,614,13008882,1,1,667,8,1,2002,325,2,Lost,"MCINTOSH, KATHLEEN",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 078,Open,Health
64,616,12997052,2,1,9173,6,1,2002,100,2,Lost,"MICHAELS, ELLIE",Lost-Primary,Republican,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
65,619,6379663,1,1,9171,8,1,2002,1120,2,Lost,"OBRIEN, SHAWN CASEY",Lost-Primary,Democratic,Standard,SECRETARY OF STATE,Open,Health
66,621,13008476,2,1,599,6,1,2002,100,2,Lost,"PAYNE, KEN",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 010,Open,"Finance, Insurance & Real Estate"
67,622,6576563,2,1,669,6,1,2002,20500,2,Lost,"PENA, JOHN J",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 080,Open,"Finance, Insurance & Real Estate"
68,622,6576563,2,1,669,2,1,2002,15250,2,Lost,"PENA, JOHN J",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 080,Open,Construction
69,622,6576563,2,1,669,5,1,2002,9250,2,Lost,"PENA, JOHN J",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 080,Open,Energy & Natural Resources
70,622,6576563,2,1,669,8,1,2002,5000,2,Lost,"PENA, JOHN J",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 080,Open,Health
71,623,13008855,2,1,664,6,1,2002,26075,2,Lost,"PFEILER, LORI",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,"Finance, Insurance & Real Estate"
72,623,13008855,2,1,664,2,1,2002,9375,2,Lost,"PFEILER, LORI",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Construction
73,623,13008855,2,1,664,5,1,2002,3400,2,Lost,"PFEILER, LORI",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Energy & Natural Resources
74,623,13008855,2,1,664,8,1,2002,2870,2,Lost,"PFEILER, LORI",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Health
75,626,13011160,2,1,671,6,1,2002,300,2,Lost,"POSSELT, STUART",Lost-Primary,Republican,Standard,SENATE DISTRICT 002,Open,"Finance, Insurance & Real Estate"
76,629,6576599,2,1,664,6,1,2002,10650,2,Lost,"ROACHE, JIM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,"Finance, Insurance & Real Estate"
77,629,6576599,2,1,664,2,1,2002,2300,2,Lost,"ROACHE, JIM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Construction
78,629,6576599,2,1,664,8,1,2002,200,2,Lost,"ROACHE, JIM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Health
79,632,13008582,2,1,619,2,1,2002,450,2,Lost,"SALAZAR, JERRY",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 030,Open,Construction
80,632,13008582,2,1,619,8,1,2002,350,2,Lost,"SALAZAR, JERRY",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 030,Open,Health
81,633,6576635,2,1,606,8,1,2002,100,2,Lost,"SANCHEZ, MOSES A",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 017,Open,Health
82,636,13008856,2,1,664,6,1,2002,5500,2,Lost,"SHELDON, SAM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,"Finance, Insurance & Real Estate"
83,636,13008856,2,1,664,8,1,2002,5100,2,Lost,"SHELDON, SAM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Health
84,636,13008856,2,1,664,2,1,2002,300,2,Lost,"SHELDON, SAM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Construction
85,638,2224706,1,1,611,2,1,2002,11701,2,Lost,"STASEK, ROSEMARY",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 022,Open,Construction
86,638,2224706,1,1,611,8,1,2002,1750,2,Lost,"STASEK, ROSEMARY",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 022,Open,Health
87,638,2224706,1,1,611,4,1,2002,1000,2,Lost,"STASEK, ROSEMARY",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 022,Open,Defense
88,638,2224706,1,1,611,6,1,2002,800,2,Lost,"STASEK, ROSEMARY",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 022,Open,"Finance, Insurance & Real Estate"
89,638,2224706,1,1,611,5,1,2002,500,2,Lost,"STASEK, ROSEMARY",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 022,Open,Energy & Natural Resources
90,639,13008782,2,1,652,8,1,2002,6050,2,Lost,"STAVROS, SAM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 063,Open,Health
91,639,13008782,2,1,652,2,1,2002,1990,2,Lost,"STAVROS, SAM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 063,Open,Construction
92,639,13008782,2,1,652,6,1,2002,1100,2,Lost,"STAVROS, SAM",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 063,Open,"Finance, Insurance & Real Estate"
93,640,13008857,2,1,664,6,1,2002,11201,2,Lost,"STEIN, GREG",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,"Finance, Insurance & Real Estate"
94,640,13008857,2,1,664,8,1,2002,2267,2,Lost,"STEIN, GREG",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Health
95,640,13008857,2,1,664,2,1,2002,1320,2,Lost,"STEIN, GREG",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Construction
96,640,13008857,2,1,664,4,1,2002,1000,2,Lost,"STEIN, GREG",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 075,Open,Defense
97,641,13008883,1,1,667,6,1,2002,11225,2,Lost,"STEVENS, GEORGE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 078,Open,"Finance, Insurance & Real Estate"
98,641,13008883,1,1,667,2,1,2002,6875,2,Lost,"STEVENS, GEORGE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 078,Open,Construction
99,641,13008883,1,1,667,8,1,2002,2550,2,Lost,"STEVENS, GEORGE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 078,Open,Health
100,641,13008883,1,1,667,4,1,2002,1000,2,Lost,"STEVENS, GEORGE",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 078,Open,Defense
101,643,13008398,2,1,590,6,1,2002,2000,2,Lost,"STOEN, TIMOTHY OLIVER",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 001,Open,"Finance, Insurance & Real Estate"
102,643,13008398,2,1,590,8,1,2002,1300,2,Lost,"STOEN, TIMOTHY OLIVER",Lost-Primary,Republican,Standard,ASSEMBLY DISTRICT 001,Open,Health
103,644,6379738,1,1,606,6,3,2002,150,2,Lost,"SWEET JR, WILLIAM R",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 017,Challenger,"Finance, Insurance & Real Estate"
104,644,6379738,1,1,606,2,3,2002,45,2,Lost,"SWEET JR, WILLIAM R",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 017,Challenger,Construction
105,645,6617477,3,1,9176,8,1,2002,2632,2,Lost,"TAYLOR, JOE",Lost-Primary,Third-Party,Standard,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Health
106,646,6379741,1,1,602,6,1,2002,2950,2,Lost,"THIER, HOLLI",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 013,Open,"Finance, Insurance & Real Estate"
107,646,6379741,1,1,602,2,1,2002,1150,2,Lost,"THIER, HOLLI",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 013,Open,Construction
108,646,6379741,1,1,602,8,1,2002,250,2,Lost,"THIER, HOLLI",Lost-Primary,Democratic,Standard,ASSEMBLY DISTRICT 013,Open,Health
