Filing_Jurisdiction,Filing_Year,Spender:id,Spender,Spender_Business_Classification:id,Spender_Business_Classification,Spender_Industry:id,Spender_Industry,Spender_Sector:id,Spender_Sector,Target:id,Target,Type_of_Target,Original_Target:id,Original_Target,Amount,Position:id,Position,Target_Payee:id,Target_Payee,MasterTransactionID,Candidate:id,Candidate,Election_Status,Type_of_Office:id,Type_of_Office,Status_of_Candidate:id,Status_of_Candidate,Incumbency_Status:id,Incumbency_Status
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",1640537.31,4,Oppose,27318387,KAPP-TV,53977408,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",607386.75,4,Oppose,27321942,NCC MEDIA,53977405,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6059788,"MUNDELL, WILLIAM (BILL)",Candidate,23521232,BILL MUNDELL FOR CORPORATION COMMISSION,600000,3,Support,10080742,LINCOLN STRATEGY GROUP,148162952,6059788,"MUNDELL, WILLIAM (BILL)",Lost-General,O,Other Statewide,2,Lost,C,Challenger
AZ,2018,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,14016474,"GARCIA, DAVID R",Candidate,25735552,GARCIA FOR GOVERNOR,564363.72,3,Support,29311072,COMMUNITY OUTREACH GROUP,173693598,14016474,"GARCIA, DAVID R",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",546606.32,4,Oppose,7957556,DRESNER WICKERS & ASSOCIATES,53977416,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
CA,2014,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",1348234,"GLAZER, STEVEN",Candidate,7036923,"GLAZER, STEVE",530300,3,Support,27317382,NO PAYEE IDENTIFIED,76519876,1348234,"GLAZER, STEVEN",Lost-Top Two Primary,H,State House/Assembly,2,Lost,O,Open
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",526073.95,4,Oppose,7957556,DRESNER WICKERS & ASSOCIATES,53977417,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",519579.04,4,Oppose,27318400,KCPQ TV,53977409,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",510000,4,Oppose,27318400,KCPQ TV,53977406,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6059788,"MUNDELL, WILLIAM (BILL)",Candidate,23521232,BILL MUNDELL FOR CORPORATION COMMISSION,500000,3,Support,10080742,LINCOLN STRATEGY GROUP,148162891,6059788,"MUNDELL, WILLIAM (BILL)",Lost-General,O,Other Statewide,2,Lost,C,Challenger
