Date,Temp
1/1/1980,-22.529
2/1/1980,-18.497
3/1/1980,-14.981
4/1/1980,-4.651
5/1/1980,4.375
6/1/1980,9.305
7/1/1980,12.639
8/1/1980,11.759
9/1/1980,4.226
10/1/1980,-1.546
11/1/1980,-10.246
12/1/1980,-22.857
1/1/1981,-16.935
2/1/1981,-16.836
3/1/1981,-10.797
4/1/1981,-7.32
5/1/1981,3.512
6/1/1981,9.091
7/1/1981,13.453
8/1/1981,12.74
9/1/1981,6.135
10/1/1981,-1.755
11/1/1981,-8.468
12/1/1981,-17.227
1/1/1982,-27.335
2/1/1982,-22.379
3/1/1982,-16.809
4/1/1982,-8.609
5/1/1982,2.407
6/1/1982,9.102
7/1/1982,13.172
8/1/1982,10.116
9/1/1982,5.642
10/1/1982,-1.871
11/1/1982,-14.013
12/1/1982,-19.925
1/1/1983,-22.138
2/1/1983,-20.784
3/1/1983,-15.55
4/1/1983,-6.209
5/1/1983,0.146
6/1/1983,10.104
7/1/1983,13.223
8/1/1983,12.226
9/1/1983,5.881
10/1/1983,-1.926
11/1/1983,-9.294
12/1/1983,-22.7
1/1/1984,-23.567
2/1/1984,-17.471
3/1/1984,-15.055
4/1/1984,-4.082
5/1/1984,2.676
6/1/1984,9.972
7/1/1984,13.517
8/1/1984,12.278
9/1/1984,4.158
10/1/1984,-2.496
11/1/1984,-12.88
12/1/1984,-22.661
1/1/1985,-19.849
2/1/1985,-22.61
3/1/1985,-14.457
4/1/1985,-7.602
5/1/1985,3.341
6/1/1985,9.324
7/1/1985,12.6
8/1/1985,10.741
9/1/1985,5.58
10/1/1985,-2.619
11/1/1985,-15.259
12/1/1985,-18.004
1/1/1986,-20.801
2/1/1986,-19.634
3/1/1986,-15.062
4/1/1986,-6.46
5/1/1986,3.432
6/1/1986,8.211
7/1/1986,12.331
8/1/1986,10.933
9/1/1986,4.708
10/1/1986,-3.179
11/1/1986,-15.663
12/1/1986,-16.943
1/1/1987,-18.986
2/1/1987,-17.908
3/1/1987,-14.274
4/1/1987,-4.718
5/1/1987,2.316
6/1/1987,9.82
7/1/1987,13.102
8/1/1987,10.431
9/1/1987,7.094
10/1/1987,-1.754
11/1/1987,-10.219
12/1/1987,-15.024
1/1/1988,-22.993
2/1/1988,-21.044
3/1/1988,-12.89
4/1/1988,-4.475
5/1/1988,3.196
6/1/1988,10.118
7/1/1988,13.535
8/1/1988,12.13
9/1/1988,5.995
10/1/1988,-1.743
11/1/1988,-11.817
12/1/1988,-19.514
1/1/1989,-23.253
2/1/1989,-21.012
3/1/1989,-18.56
4/1/1989,-5.665
5/1/1989,2.442
6/1/1989,10.276
7/1/1989,14.045
8/1/1989,12.33
9/1/1989,6.079
10/1/1989,-2.215
11/1/1989,-14.351
12/1/1989,-20.996
1/1/1990,-21.907
2/1/1990,-23.93
3/1/1990,-12.52
4/1/1990,-5.902
5/1/1990,2.523
6/1/1990,9.739
7/1/1990,13.455
8/1/1990,11.715
9/1/1990,5.925
10/1/1990,-3.374
11/1/1990,-13.653
12/1/1990,-22.334
1/1/1991,-24.725
2/1/1991,-18.514
3/1/1991,-14.754
4/1/1991,-4.968
5/1/1991,3.752
6/1/1991,10.401
7/1/1991,13.288
8/1/1991,12.453
9/1/1991,5.511
10/1/1991,-3.513
11/1/1991,-12.518
12/1/1991,-19.533
1/1/1992,-20.45
2/1/1992,-20.855
3/1/1992,-13.346
4/1/1992,-7.518
5/1/1992,1.764
6/1/1992,8.457
7/1/1992,11.715
8/1/1992,10.9
9/1/1992,4.182
10/1/1992,-2.57
11/1/1992,-10.976
12/1/1992,-20.45
1/1/1993,-21.908
2/1/1993,-21.522
3/1/1993,-13.472
4/1/1993,-5.735
5/1/1993,3.757
6/1/1993,9.621
7/1/1993,13.028
8/1/1993,11.667
9/1/1993,5.013
10/1/1993,-2.331
11/1/1993,-12.812
12/1/1993,-18.124
1/1/1994,-26.153
2/1/1994,-24.63
3/1/1994,-13.331
4/1/1994,-6.544
5/1/1994,3.398
6/1/1994,10.462
7/1/1994,13.869
8/1/1994,11.754
9/1/1994,6.513
10/1/1994,-0.331
11/1/1994,-10.709
12/1/1994,-17.502
1/1/1995,-19.914
2/1/1995,-21.217
3/1/1995,-15.128
4/1/1995,-5.381
5/1/1995,3.38
6/1/1995,11.296
7/1/1995,12.812
8/1/1995,11.633
9/1/1995,6.099
10/1/1995,-1.533
11/1/1995,-13.139
12/1/1995,-20.68
1/1/1996,-25.682
2/1/1996,-19.082
3/1/1996,-16.304
4/1/1996,-6.323
5/1/1996,1.449
6/1/1996,10.277
7/1/1996,13.54
8/1/1996,11.659
9/1/1996,6.262
10/1/1996,-3.362
11/1/1996,-12.722
12/1/1996,-19.006
1/1/1997,-23.213
2/1/1997,-19.751
3/1/1997,-16.772
4/1/1997,-6.858
5/1/1997,1.847
6/1/1997,10.185
7/1/1997,13.648
8/1/1997,11.685
9/1/1997,6.619
10/1/1997,-2.953
11/1/1997,-9.914
12/1/1997,-15.301
1/1/1998,-23.587
2/1/1998,-16.27
3/1/1998,-13.595
4/1/1998,-2.831
5/1/1998,5.431
6/1/1998,11.179
7/1/1998,14.548
8/1/1998,13.124
9/1/1998,7.555
10/1/1998,-0.465
11/1/1998,-8.616
12/1/1998,-17.12
1/1/1999,-22.238
2/1/1999,-17.266
3/1/1999,-11.567
4/1/1999,-4.155
5/1/1999,3.354
6/1/1999,10.188
7/1/1999,12.908
8/1/1999,12.16
9/1/1999,6.752
10/1/1999,-2.541
11/1/1999,-9.463
12/1/1999,-16.368
1/1/2000,-22.21
2/1/2000,-17.843
3/1/2000,-11.486
4/1/2000,-6.342
5/1/2000,2.237
6/1/2000,8.958
7/1/2000,13.742
8/1/2000,11.694
9/1/2000,5.415
10/1/2000,-1.769
11/1/2000,-9.952
12/1/2000,-20.755
1/1/2001,-18.502
2/1/2001,-20.7
3/1/2001,-12.911
4/1/2001,-5.579
5/1/2001,3.902
6/1/2001,9.826
7/1/2001,13.803
8/1/2001,12.62
9/1/2001,7.4
10/1/2001,-1.773
11/1/2001,-9.54
12/1/2001,-15.747
1/1/2002,-20.977
2/1/2002,-20.23
3/1/2002,-17.842
4/1/2002,-8.37
5/1/2002,0.825
6/1/2002,9.976
7/1/2002,13.501
8/1/2002,11.653
9/1/2002,6.774
10/1/2002,-2.562
11/1/2002,-10.319
12/1/2002,-14.783
1/1/2003,-20.346
2/1/2003,-22.718
3/1/2003,-16.432
4/1/2003,-6.427
5/1/2003,3.643
6/1/2003,9.689
7/1/2003,13.925
8/1/2003,12.59
9/1/2003,6.932
10/1/2003,-0.087
11/1/2003,-10.92
12/1/2003,-16.163
1/1/2004,-24.732
2/1/2004,-18.592
3/1/2004,-15.483
4/1/2004,-6.518
5/1/2004,0.763
6/1/2004,9.078
7/1/2004,13.277
8/1/2004,10.843
9/1/2004,5.698
10/1/2004,-1.986
11/1/2004,-10.535
12/1/2004,-20.89
1/1/2005,-23.244
2/1/2005,-18.773
3/1/2005,-13.295
4/1/2005,-3.621
5/1/2005,3.546
6/1/2005,10.221
7/1/2005,13.042
8/1/2005,11.811
9/1/2005,6.345
10/1/2005,-0.375
11/1/2005,-9.444
12/1/2005,-15.918
1/1/2006,-18.206
2/1/2006,-17.944
3/1/2006,-12.267
4/1/2006,-3.526
5/1/2006,4.864
6/1/2006,11.387
7/1/2006,14.085
8/1/2006,12.305
9/1/2006,7.262
10/1/2006,-0.735
11/1/2006,-12.198
12/1/2006,-14.549
1/1/2007,-19.078
2/1/2007,-20.78
3/1/2007,-15.902
4/1/2007,-5.161
5/1/2007,2.466
6/1/2007,10.084
7/1/2007,14.556
8/1/2007,11.425
9/1/2007,5.512
10/1/2007,-0.686
11/1/2007,-11.498
12/1/2007,-19.669
1/1/2008,-21.083
2/1/2008,-21.751
3/1/2008,-16.669
4/1/2008,-5.928
5/1/2008,3.681
6/1/2008,10.259
7/1/2008,13.644
8/1/2008,12.306
9/1/2008,5.912
10/1/2008,-0.705
11/1/2008,-9.405
12/1/2008,-21.804
1/1/2009,-21.976
2/1/2009,-19.638
3/1/2009,-16.901
4/1/2009,-5.647
5/1/2009,1.156
6/1/2009,9.581
7/1/2009,13.058
8/1/2009,11.857
9/1/2009,7.885
10/1/2009,-2.801
11/1/2009,-8.247
12/1/2009,-17.948
1/1/2010,-18.861
2/1/2010,-15.177
3/1/2010,-9.856
4/1/2010,-1.339
5/1/2010,3.53
6/1/2010,10.131
7/1/2010,14.303
8/1/2010,12.881
9/1/2010,6.276
10/1/2010,0.189
11/1/2010,-8.578
12/1/2010,-16.154
1/1/2011,-20.369
2/1/2011,-20.261
3/1/2011,-15.749
4/1/2011,-7.651
5/1/2011,3.11
6/1/2011,9.992
7/1/2011,14.084
8/1/2011,12.692
