Date,Temp,Country
1/1/1980,5.942,France
2/1/1980,9.473,France
3/1/1980,9.363,France
4/1/1980,11.179,France
5/1/1980,14.213,France
6/1/1980,16.735,France
7/1/1980,17.888,France
8/1/1980,19.763,France
9/1/1980,18.036,France
10/1/1980,12.911,France
11/1/1980,8.811,France
12/1/1980,6.356,France
1/1/1981,6.725,France
2/1/1981,6.248,France
3/1/1981,12.002,France
4/1/1981,12.658,France
5/1/1981,14.702,France
6/1/1981,17.505,France
7/1/1981,18.613,France
8/1/1981,19.736,France
9/1/1981,17.525,France
10/1/1981,13.393,France
11/1/1981,10.161,France
12/1/1981,7.7,France
1/1/1982,8.327,France
2/1/1982,8.482,France
3/1/1982,9.518,France
4/1/1982,11.936,France
5/1/1982,15.595,France
6/1/1982,18.927,France
7/1/1982,21.028,France
8/1/1982,19.024,France
9/1/1982,18.666,France
10/1/1982,13.376,France
11/1/1982,11.174,France
12/1/1982,8.1,France
1/1/1983,8.529,France
2/1/1983,6.111,France
3/1/1983,10.08,France
4/1/1983,11.815,France
5/1/1983,14.055,France
6/1/1983,18.731,France
7/1/1983,22.746,France
8/1/1983,20.176,France
9/1/1983,17.77,France
10/1/1983,13.763,France
11/1/1983,10.47,France
12/1/1983,7.608,France
1/1/1984,7.493,France
2/1/1984,6.805,France
3/1/1984,8.521,France
4/1/1984,12.2,France
5/1/1984,12.848,France
6/1/1984,17.492,France
7/1/1984,19.985,France
8/1/1984,19.387,France
9/1/1984,16.128,France
10/1/1984,13.796,France
11/1/1984,11.989,France
12/1/1984,7.775,France
1/1/1985,3.045,France
2/1/1985,7.399,France
3/1/1985,8.509,France
4/1/1985,12.526,France
5/1/1985,14.627,France
6/1/1985,17.022,France
7/1/1985,20.494,France
8/1/1985,18.831,France
9/1/1985,18.653,France
10/1/1985,14.269,France
11/1/1985,7.703,France
12/1/1985,8.458,France
1/1/1986,7.399,France
2/1/1986,3.771,France
3/1/1986,9.298,France
4/1/1986,9.94,France
5/1/1986,15.899,France
6/1/1986,18.4,France
7/1/1986,19.852,France
8/1/1986,18.96,France
9/1/1986,16.649,France
10/1/1986,15.138,France
11/1/1986,10.833,France
12/1/1986,8.321,France
1/1/1987,3.134,France
2/1/1987,7.293,France
3/1/1987,8.461,France
4/1/1987,13.56,France
5/1/1987,13.885,France
6/1/1987,16.959,France
7/1/1987,19.8,France
8/1/1987,19.94,France
9/1/1987,19.167,France
10/1/1987,14.594,France
11/1/1987,10.151,France
12/1/1987,8.518,France
1/1/1988,9.595,France
2/1/1988,8.197,France
3/1/1988,9.671,France
4/1/1988,12.846,France
5/1/1988,15.952,France
6/1/1988,17.764,France
7/1/1988,19.105,France
8/1/1988,19.903,France
9/1/1988,17.124,France
10/1/1988,14.776,France
11/1/1988,9.358,France
12/1/1988,8.68,France
1/1/1989,7.361,France
2/1/1989,8.471,France
3/1/1989,11.925,France
4/1/1989,10.977,France
5/1/1989,17.293,France
6/1/1989,18.318,France
7/1/1989,20.99,France
8/1/1989,20.325,France
9/1/1989,17.687,France
10/1/1989,14.926,France
11/1/1989,10.052,France
12/1/1989,8.836,France
1/1/1990,8.016,France
2/1/1990,11.502,France
3/1/1990,11.539,France
4/1/1990,11.552,France
5/1/1990,17.251,France
6/1/1990,17.586,France
7/1/1990,20.636,France
8/1/1990,21.245,France
9/1/1990,17.336,France
10/1/1990,15.224,France
11/1/1990,10.192,France
12/1/1990,6.387,France
1/1/1991,7.21,France
2/1/1991,5.921,France
3/1/1991,11.925,France
4/1/1991,11.465,France
5/1/1991,13.901,France
6/1/1991,16.79,France
7/1/1991,20.587,France
8/1/1991,21.341,France
9/1/1991,18.932,France
10/1/1991,12.863,France
11/1/1991,9.848,France
12/1/1991,6.891,France
1/1/1992,6.119,France
2/1/1992,8.147,France
3/1/1992,10.615,France
4/1/1992,12.162,France
5/1/1992,17.101,France
6/1/1992,17.571,France
7/1/1992,20.148,France
8/1/1992,20.847,France
9/1/1992,16.97,France
10/1/1992,11.982,France
11/1/1992,11.693,France
12/1/1992,8.2,France
1/1/1993,8.733,France
2/1/1993,6.783,France
3/1/1993,10.045,France
4/1/1993,12.878,France
5/1/1993,16.115,France
6/1/1993,18.656,France
7/1/1993,18.974,France
8/1/1993,19.644,France
9/1/1993,16.194,France
10/1/1993,12.539,France
11/1/1993,7.978,France
12/1/1993,9.263,France
1/1/1994,8.339,France
2/1/1994,8.445,France
3/1/1994,12.125,France
4/1/1994,11.319,France
5/1/1994,15.746,France
6/1/1994,18.445,France
7/1/1994,21.943,France
8/1/1994,20.822,France
9/1/1994,16.5,France
10/1/1994,14.054,France
11/1/1994,12.727,France
12/1/1994,9.409,France
1/1/1995,7.727,France
2/1/1995,10.411,France
3/1/1995,9.744,France
4/1/1995,12.445,France
5/1/1995,15.765,France
6/1/1995,17.652,France
7/1/1995,21.782,France
8/1/1995,20.924,France
9/1/1995,16.089,France
10/1/1995,16.342,France
11/1/1995,10.453,France
12/1/1995,7.463,France
1/1/1996,8.391,France
2/1/1996,6.647,France
3/1/1996,9.398,France
4/1/1996,12.713,France
5/1/1996,14.682,France
6/1/1996,18.889,France
7/1/1996,19.689,France
8/1/1996,19.288,France
9/1/1996,15.751,France
10/1/1996,13.835,France
11/1/1996,9.925,France
12/1/1996,6.959,France
1/1/1997,5.834,France
2/1/1997,10.008,France
3/1/1997,12.176,France
4/1/1997,12.522,France
5/1/1997,16.337,France
6/1/1997,17.931,France
7/1/1997,19.562,France
8/1/1997,21.94,France
9/1/1997,18.354,France
10/1/1997,14.376,France
11/1/1997,11.349,France
12/1/1997,8.763,France
1/1/1998,8.287,France
2/1/1998,9.395,France
3/1/1998,11.301,France
4/1/1998,12.052,France
5/1/1998,16.957,France
6/1/1998,18.666,France
7/1/1998,19.881,France
8/1/1998,20.467,France
9/1/1998,17.562,France
10/1/1998,13.767,France
11/1/1998,8.438,France
12/1/1998,7.875,France
1/1/1999,8.648,France
2/1/1999,7.663,France
3/1/1999,11.165,France
4/1/1999,12.699,France
5/1/1999,17.125,France
6/1/1999,17.938,France
7/1/1999,20.968,France
8/1/1999,20.346,France
9/1/1999,18.966,France
10/1/1999,14.146,France
11/1/1999,9.085,France
12/1/1999,8.11,France
1/1/2000,6.82,France
2/1/2000,9.557,France
3/1/2000,10.486,France
4/1/2000,12.469,France
5/1/2000,16.841,France
6/1/2000,19.034,France
7/1/2000,18.726,France
8/1/2000,20.576,France
9/1/2000,18.09,France
10/1/2000,14.034,France
11/1/2000,11.009,France
12/1/2000,9.966,France
1/1/2001,8.335,France
2/1/2001,8.668,France
3/1/2001,11.952,France
4/1/2001,11.652,France
5/1/2001,16.683,France
6/1/2001,18.245,France
7/1/2001,20.242,France
8/1/2001,20.891,France
9/1/2001,16.019,France
10/1/2001,16.426,France
11/1/2001,9.202,France
