Date,Temp,Country
1/1/1980,-15.292,Kazakhstan
2/1/1980,-14.297,Kazakhstan
3/1/1980,-7.342,Kazakhstan
4/1/1980,7.991,Kazakhstan
5/1/1980,17.63,Kazakhstan
6/1/1980,20.859,Kazakhstan
7/1/1980,24.148,Kazakhstan
8/1/1980,20.086,Kazakhstan
9/1/1980,14.801,Kazakhstan
10/1/1980,6.314,Kazakhstan
11/1/1980,-0.093,Kazakhstan
12/1/1980,-6.324,Kazakhstan
1/1/1981,-10.254,Kazakhstan
2/1/1981,-9.147,Kazakhstan
3/1/1981,-1.202,Kazakhstan
4/1/1981,7.556,Kazakhstan
5/1/1981,14.69,Kazakhstan
6/1/1981,21.333,Kazakhstan
7/1/1981,24.071,Kazakhstan
8/1/1981,22.631,Kazakhstan
9/1/1981,15.393,Kazakhstan
10/1/1981,6.384,Kazakhstan
11/1/1981,-2.184,Kazakhstan
12/1/1981,-8.688,Kazakhstan
1/1/1982,-10.949,Kazakhstan
2/1/1982,-12.44,Kazakhstan
3/1/1982,-6.876,Kazakhstan
4/1/1982,10.83,Kazakhstan
5/1/1982,16.887,Kazakhstan
6/1/1982,21.258,Kazakhstan
7/1/1982,23.533,Kazakhstan
8/1/1982,20.953,Kazakhstan
9/1/1982,15.443,Kazakhstan
10/1/1982,6.49,Kazakhstan
11/1/1982,-2.38,Kazakhstan
12/1/1982,-7.658,Kazakhstan
1/1/1983,-7.752,Kazakhstan
2/1/1983,-5.61,Kazakhstan
3/1/1983,-1.787,Kazakhstan
4/1/1983,10.526,Kazakhstan
5/1/1983,14.468,Kazakhstan
6/1/1983,21.39,Kazakhstan
7/1/1983,25.324,Kazakhstan
8/1/1983,21.998,Kazakhstan
9/1/1983,13.93,Kazakhstan
10/1/1983,6.933,Kazakhstan
11/1/1983,-0.329,Kazakhstan
12/1/1983,-7.17,Kazakhstan
1/1/1984,-11.791,Kazakhstan
2/1/1984,-16.694,Kazakhstan
3/1/1984,-3.108,Kazakhstan
4/1/1984,5.687,Kazakhstan
5/1/1984,16.34,Kazakhstan
6/1/1984,21.582,Kazakhstan
7/1/1984,24.978,Kazakhstan
8/1/1984,22.111,Kazakhstan
9/1/1984,14.488,Kazakhstan
10/1/1984,6.783,Kazakhstan
11/1/1984,-3.979,Kazakhstan
12/1/1984,-18.169,Kazakhstan
1/1/1985,-12.572,Kazakhstan
2/1/1985,-9.735,Kazakhstan
3/1/1985,-7.883,Kazakhstan
4/1/1985,8.616,Kazakhstan
5/1/1985,14.84,Kazakhstan
6/1/1985,21.511,Kazakhstan
7/1/1985,23.135,Kazakhstan
8/1/1985,21.063,Kazakhstan
9/1/1985,14.924,Kazakhstan
10/1/1985,4.349,Kazakhstan
11/1/1985,-3.837,Kazakhstan
12/1/1985,-8.438,Kazakhstan
1/1/1986,-9.191,Kazakhstan
2/1/1986,-12.876,Kazakhstan
3/1/1986,-5.35,Kazakhstan
4/1/1986,8.618,Kazakhstan
5/1/1986,15.643,Kazakhstan
6/1/1986,20.308,Kazakhstan
7/1/1986,23.365,Kazakhstan
8/1/1986,21.025,Kazakhstan
9/1/1986,15.36,Kazakhstan
10/1/1986,5.379,Kazakhstan
11/1/1986,-4.05,Kazakhstan
12/1/1986,-9.984,Kazakhstan
1/1/1987,-10.808,Kazakhstan
2/1/1987,-8.475,Kazakhstan
3/1/1987,-6.318,Kazakhstan
4/1/1987,4.285,Kazakhstan
5/1/1987,16.811,Kazakhstan
6/1/1987,21.175,Kazakhstan
7/1/1987,23.957,Kazakhstan
8/1/1987,22.123,Kazakhstan
9/1/1987,14.58,Kazakhstan
10/1/1987,3.05,Kazakhstan
11/1/1987,-6.602,Kazakhstan
12/1/1987,-7.465,Kazakhstan
1/1/1988,-11.32,Kazakhstan
2/1/1988,-15,Kazakhstan
3/1/1988,-4.437,Kazakhstan
4/1/1988,8.919,Kazakhstan
5/1/1988,13.941,Kazakhstan
6/1/1988,23.158,Kazakhstan
7/1/1988,24.243,Kazakhstan
8/1/1988,21.855,Kazakhstan
9/1/1988,15.884,Kazakhstan
10/1/1988,6.105,Kazakhstan
11/1/1988,-0.847,Kazakhstan
12/1/1988,-5.969,Kazakhstan
1/1/1989,-10.365,Kazakhstan
2/1/1989,-10.97,Kazakhstan
3/1/1989,-3.214,Kazakhstan
4/1/1989,5.441,Kazakhstan
5/1/1989,14.94,Kazakhstan
6/1/1989,20.929,Kazakhstan
7/1/1989,24.982,Kazakhstan
8/1/1989,21.718,Kazakhstan
9/1/1989,14.091,Kazakhstan
10/1/1989,7.266,Kazakhstan
11/1/1989,-2.133,Kazakhstan
12/1/1989,-4.481,Kazakhstan
1/1/1990,-12.377,Kazakhstan
2/1/1990,-9.6,Kazakhstan
3/1/1990,0.253,Kazakhstan
4/1/1990,8.391,Kazakhstan
5/1/1990,16.078,Kazakhstan
6/1/1990,22.651,Kazakhstan
7/1/1990,22.471,Kazakhstan
8/1/1990,20.019,Kazakhstan
9/1/1990,15.556,Kazakhstan
10/1/1990,5.891,Kazakhstan
11/1/1990,-1.832,Kazakhstan
12/1/1990,-8.832,Kazakhstan
1/1/1991,-10.832,Kazakhstan
2/1/1991,-12.747,Kazakhstan
3/1/1991,-5.981,Kazakhstan
4/1/1991,9.373,Kazakhstan
5/1/1991,16.62,Kazakhstan
6/1/1991,22.957,Kazakhstan
7/1/1991,23.957,Kazakhstan
8/1/1991,19.966,Kazakhstan
9/1/1991,15.36,Kazakhstan
10/1/1991,9.086,Kazakhstan
11/1/1991,-0.842,Kazakhstan
12/1/1991,-9.265,Kazakhstan
1/1/1992,-8.41,Kazakhstan
2/1/1992,-8.986,Kazakhstan
3/1/1992,-5.937,Kazakhstan
4/1/1992,7.804,Kazakhstan
5/1/1992,14.216,Kazakhstan
6/1/1992,19.745,Kazakhstan
7/1/1992,22.499,Kazakhstan
8/1/1992,19.257,Kazakhstan
9/1/1992,12.902,Kazakhstan
10/1/1992,5.749,Kazakhstan
11/1/1992,-0.972,Kazakhstan
12/1/1992,-8.151,Kazakhstan
1/1/1993,-9.753,Kazakhstan
2/1/1993,-10.224,Kazakhstan
3/1/1993,-4.071,Kazakhstan
4/1/1993,6.528,Kazakhstan
5/1/1993,13.937,Kazakhstan
6/1/1993,20.832,Kazakhstan
7/1/1993,22.94,Kazakhstan
8/1/1993,21.034,Kazakhstan
9/1/1993,12.494,Kazakhstan
10/1/1993,5.606,Kazakhstan
11/1/1993,-10.688,Kazakhstan
12/1/1993,-12.208,Kazakhstan
1/1/1994,-12.293,Kazakhstan
2/1/1994,-16.288,Kazakhstan
3/1/1994,-5.871,Kazakhstan
4/1/1994,7.18,Kazakhstan
5/1/1994,16.261,Kazakhstan
6/1/1994,22.51,Kazakhstan
7/1/1994,21.859,Kazakhstan
8/1/1994,20.954,Kazakhstan
9/1/1994,14.065,Kazakhstan
10/1/1994,7.291,Kazakhstan
11/1/1994,-0.056,Kazakhstan
12/1/1994,-9.174,Kazakhstan
1/1/1995,-12.397,Kazakhstan
2/1/1995,-7.275,Kazakhstan
3/1/1995,-1.883,Kazakhstan
4/1/1995,11.924,Kazakhstan
5/1/1995,15.97,Kazakhstan
6/1/1995,22.315,Kazakhstan
7/1/1995,24.377,Kazakhstan
8/1/1995,22.15,Kazakhstan
9/1/1995,15.349,Kazakhstan
10/1/1995,6.761,Kazakhstan
11/1/1995,0.974,Kazakhstan
12/1/1995,-10.241,Kazakhstan
1/1/1996,-16.344,Kazakhstan
2/1/1996,-12.532,Kazakhstan
3/1/1996,-7.533,Kazakhstan
4/1/1996,4.665,Kazakhstan
5/1/1996,16.299,Kazakhstan
6/1/1996,22.434,Kazakhstan
7/1/1996,24.254,Kazakhstan
8/1/1996,20.348,Kazakhstan
9/1/1996,14.82,Kazakhstan
10/1/1996,5.221,Kazakhstan
11/1/1996,-2.712,Kazakhstan
12/1/1996,-7.71,Kazakhstan
1/1/1997,-10.794,Kazakhstan
2/1/1997,-10.415,Kazakhstan
3/1/1997,-0.339,Kazakhstan
4/1/1997,11.605,Kazakhstan
5/1/1997,16.797,Kazakhstan
6/1/1997,22.582,Kazakhstan
7/1/1997,23.287,Kazakhstan
8/1/1997,21.301,Kazakhstan
9/1/1997,15.608,Kazakhstan
10/1/1997,11.191,Kazakhstan
11/1/1997,-4.666,Kazakhstan
12/1/1997,-11.373,Kazakhstan
1/1/1998,-14.562,Kazakhstan
2/1/1998,-10.457,Kazakhstan
3/1/1998,-5.192,Kazakhstan
4/1/1998,6.182,Kazakhstan
5/1/1998,15.473,Kazakhstan
6/1/1998,23.569,Kazakhstan
7/1/1998,25.562,Kazakhstan
8/1/1998,23.724,Kazakhstan
9/1/1998,14.974,Kazakhstan
10/1/1998,7.221,Kazakhstan
11/1/1998,-4.387,Kazakhstan
12/1/1998,-7.12,Kazakhstan
1/1/1999,-9.514,Kazakhstan
2/1/1999,-5.39,Kazakhstan
3/1/1999,-6.758,Kazakhstan
4/1/1999,8.434,Kazakhstan
5/1/1999,15.965,Kazakhstan
6/1/1999,19.739,Kazakhstan
7/1/1999,23.784,Kazakhstan
8/1/1999,23.403,Kazakhstan
9/1/1999,14.907,Kazakhstan
10/1/1999,9.209,Kazakhstan
11/1/1999,-4.441,Kazakhstan
12/1/1999,-5.632,Kazakhstan
1/1/2000,-10.206,Kazakhstan
2/1/2000,-7.225,Kazakhstan
3/1/2000,-2.04,Kazakhstan
4/1/2000,11.876,Kazakhstan
5/1/2000,14.663,Kazakhstan
6/1/2000,21.808,Kazakhstan
7/1/2000,23.695,Kazakhstan
8/1/2000,22.67,Kazakhstan
9/1/2000,14.68,Kazakhstan
10/1/2000,3.44,Kazakhstan
11/1/2000,-5.162,Kazakhstan
12/1/2000,-7.062,Kazakhstan
1/1/2001,-11.574,Kazakhstan
2/1/2001,-10.019,Kazakhstan
3/1/2001,0.886,Kazakhstan
4/1/2001,9.355,Kazakhstan
5/1/2001,18.837,Kazakhstan
6/1/2001,21.499,Kazakhstan
7/1/2001,22.233,Kazakhstan
8/1/2001,21.3,Kazakhstan
9/1/2001,13.914,Kazakhstan
10/1/2001,5.334,Kazakhstan
11/1/2001,0.471,Kazakhstan
12/1/2001,-10.479,Kazakhstan
1/1/2002,-5.823,Kazakhstan
2/1/2002,-3.633,Kazakhstan
3/1/2002,2.996,Kazakhstan
4/1/2002,6.457,Kazakhstan
5/1/2002,13.887,Kazakhstan
6/1/2002,19.716,Kazakhstan
7/1/2002,23.178,Kazakhstan
8/1/2002,21.822,Kazakhstan
9/1/2002,16.603,Kazakhstan
10/1/2002,7.228,Kazakhstan
11/1/2002,0.223,Kazakhstan
12/1/2002,-15.035,Kazakhstan
1/1/2003,-10.171,Kazakhstan
2/1/2003,-10.979,Kazakhstan
3/1/2003,-5.539,Kazakhstan
4/1/2003,5.753,Kazakhstan
5/1/2003,16.174,Kazakhstan
6/1/2003,19.787,Kazakhstan
7/1/2003,21.821,Kazakhstan
8/1/2003,23.139,Kazakhstan
9/1/2003,16.049,Kazakhstan
10/1/2003,7.751,Kazakhstan
11/1/2003,-2.953,Kazakhstan
12/1/2003,-7.255,Kazakhstan
1/1/2004,-10.651,Kazakhstan
2/1/2004,-6.056,Kazakhstan
3/1/2004,-1.268,Kazakhstan
4/1/2004,7.657,Kazakhstan
5/1/2004,17.469,Kazakhstan
6/1/2004,22.111,Kazakhstan
7/1/2004,23.066,Kazakhstan
8/1/2004,21.57,Kazakhstan
9/1/2004,16.117,Kazakhstan
10/1/2004,7.078,Kazakhstan
11/1/2004,0.715,Kazakhstan
12/1/2004,-9.092,Kazakhstan
1/1/2005,-11.897,Kazakhstan
2/1/2005,-14.908,Kazakhstan
3/1/2005,-0.233,Kazakhstan
4/1/2005,8.931,Kazakhstan
5/1/2005,17.504,Kazakhstan
6/1/2005,22.514,Kazakhstan
7/1/2005,24.563,Kazakhstan
8/1/2005,20.981,Kazakhstan
9/1/2005,16.508,Kazakhstan
10/1/2005,8.271,Kazakhstan
11/1/2005,-0.531,Kazakhstan
12/1/2005,-7.717,Kazakhstan
1/1/2006,-18.893,Kazakhstan
2/1/2006,-8.24,Kazakhstan
3/1/2006,0.885,Kazakhstan
4/1/2006,9.627,Kazakhstan
5/1/2006,16.114,Kazakhstan
6/1/2006,23.306,Kazakhstan
7/1/2006,22.191,Kazakhstan
8/1/2006,22.138,Kazakhstan
9/1/2006,15.453,Kazakhstan
10/1/2006,7.395,Kazakhstan
11/1/2006,-1.007,Kazakhstan
12/1/2006,-6.531,Kazakhstan
1/1/2007,-6.714,Kazakhstan
2/1/2007,-7.728,Kazakhstan
3/1/2007,-3.973,Kazakhstan
4/1/2007,9.709,Kazakhstan
5/1/2007,16.891,Kazakhstan
6/1/2007,20.977,Kazakhstan
7/1/2007,23.867,Kazakhstan
8/1/2007,22.696,Kazakhstan
9/1/2007,16.051,Kazakhstan
10/1/2007,6.688,Kazakhstan
11/1/2007,-2.025,Kazakhstan
12/1/2007,-10.577,Kazakhstan
1/1/2008,-18.815,Kazakhstan
2/1/2008,-11.631,Kazakhstan
3/1/2008,3.478,Kazakhstan
4/1/2008,9.808,Kazakhstan
5/1/2008,17.788,Kazakhstan
6/1/2008,22.04,Kazakhstan
7/1/2008,25.209,Kazakhstan
8/1/2008,23.026,Kazakhstan
9/1/2008,13.66,Kazakhstan
10/1/2008,7.662,Kazakhstan
11/1/2008,0.867,Kazakhstan
12/1/2008,-8.745,Kazakhstan
1/1/2009,-11.689,Kazakhstan
2/1/2009,-10.214,Kazakhstan
3/1/2009,-0.949,Kazakhstan
4/1/2009,7.177,Kazakhstan
5/1/2009,15.61,Kazakhstan
6/1/2009,21.429,Kazakhstan
