Date,Temp
1/1/1980,15.466
2/1/1980,15.231
3/1/1980,13.115
4/1/1980,10.916
5/1/1980,9.023
6/1/1980,6.141
7/1/1980,5.449
8/1/1980,6.752
9/1/1980,9.138
10/1/1980,11.021
11/1/1980,11.067
12/1/1980,13.877
1/1/1981,16.136
2/1/1981,15.828
3/1/1981,15.222
4/1/1981,12.408
5/1/1981,8.321
6/1/1981,6.957
7/1/1981,5.809
8/1/1981,5.837
9/1/1981,8.081
10/1/1981,10.265
11/1/1981,12.512
12/1/1981,15.254
1/1/1982,15.372
2/1/1982,16.063
3/1/1982,13.999
4/1/1982,10.074
5/1/1982,8.809
6/1/1982,5.519
7/1/1982,4.986
8/1/1982,7
9/1/1982,8.293
10/1/1982,8.971
11/1/1982,12.588
12/1/1982,12.71
1/1/1983,13.974
2/1/1983,14.249
3/1/1983,13.539
4/1/1983,10.857
5/1/1983,8.248
6/1/1983,6.093
7/1/1983,5.122
8/1/1983,6.873
9/1/1983,8.767
10/1/1983,10.677
11/1/1983,12.023
12/1/1983,13.118
1/1/1984,13.934
2/1/1984,15.177
3/1/1984,14.873
4/1/1984,11.241
5/1/1984,7.878
6/1/1984,7.272
7/1/1984,6.566
8/1/1984,7.643
9/1/1984,8.595
10/1/1984,10.127
11/1/1984,13.287
12/1/1984,14.973
1/1/1985,16.535
2/1/1985,15.578
3/1/1985,13.795
4/1/1985,11.486
5/1/1985,8.42
6/1/1985,7.293
7/1/1985,6.673
8/1/1985,6.603
9/1/1985,9.119
10/1/1985,9.759
11/1/1985,12.194
12/1/1985,14.911
1/1/1986,16.995
2/1/1986,15.839
3/1/1986,14.052
4/1/1986,12.211
5/1/1986,8.703
6/1/1986,6.315
7/1/1986,5.196
8/1/1986,6.087
9/1/1986,8.359
10/1/1986,10.827
11/1/1986,12.394
12/1/1986,14.341
1/1/1987,16.418
2/1/1987,14.886
3/1/1987,13.399
4/1/1987,11.257
5/1/1987,9.358
6/1/1987,6.784
7/1/1987,6.078
8/1/1987,7.876
9/1/1987,8.819
10/1/1987,10.646
11/1/1987,12.813
12/1/1987,14.076
1/1/1988,15.46
2/1/1988,15.891
3/1/1988,13.219
4/1/1988,10.096
5/1/1988,8.106
6/1/1988,6.985
7/1/1988,6.8
8/1/1988,7.217
9/1/1988,9.97
10/1/1988,11.065
11/1/1988,13.058
12/1/1988,15.254
1/1/1989,16.8
2/1/1989,15.466
3/1/1989,14.621
4/1/1989,11.704
5/1/1989,8.998
6/1/1989,6.838
7/1/1989,5.3
8/1/1989,7.303
9/1/1989,9.887
10/1/1989,11.455
11/1/1989,13.163
12/1/1989,13.823
1/1/1990,15.652
2/1/1990,17.077
3/1/1990,14.914
4/1/1990,12.011
5/1/1990,9.485
6/1/1990,6.561
7/1/1990,6.163
8/1/1990,7.288
9/1/1990,8.177
10/1/1990,10.755
11/1/1990,12.733
12/1/1990,14.416
1/1/1991,15.525
2/1/1991,15.174
3/1/1991,14.146
4/1/1991,10.65
5/1/1991,8.746
6/1/1991,5.605
7/1/1991,5.288
8/1/1991,7.704
9/1/1991,9.068
10/1/1991,10.091
11/1/1991,10.877
12/1/1991,13.538
1/1/1992,15.437
2/1/1992,14.634
3/1/1992,12.435
4/1/1992,9.359
5/1/1992,7.032
6/1/1992,5.355
7/1/1992,6.087
8/1/1992,5.883
9/1/1992,7.226
10/1/1992,9.629
11/1/1992,12.824
12/1/1992,13.333
1/1/1993,14.464
2/1/1993,14.345
3/1/1993,12.791
4/1/1993,10.26
5/1/1993,8.899
6/1/1993,7.363
7/1/1993,5.9
8/1/1993,6.1
9/1/1993,7.762
10/1/1993,10.823
11/1/1993,10.895
12/1/1993,13.257
1/1/1994,15.764
2/1/1994,16.053
3/1/1994,13.083
4/1/1994,11.41
5/1/1994,8.936
6/1/1994,5.783
7/1/1994,5.446
8/1/1994,7.057
9/1/1994,7.697
10/1/1994,9.411
11/1/1994,12.004
12/1/1994,13.863
1/1/1995,15.435
2/1/1995,15.954
3/1/1995,14.197
4/1/1995,12.44
5/1/1995,9.359
6/1/1995,6.271
7/1/1995,4.712
8/1/1995,6.515
9/1/1995,8.558
10/1/1995,9.915
11/1/1995,11.653
12/1/1995,14.844
1/1/1996,16.114
2/1/1996,15.873
3/1/1996,13.298
4/1/1996,12.021
5/1/1996,8.652
6/1/1996,5.747
7/1/1996,5.633
8/1/1996,6.235
9/1/1996,9.807
10/1/1996,10.752
11/1/1996,11.354
12/1/1996,13.436
1/1/1997,14.289
2/1/1997,15.743
3/1/1997,13.379
4/1/1997,10.625
5/1/1997,9.609
6/1/1997,6.389
7/1/1997,5.377
8/1/1997,6.737
9/1/1997,7.977
10/1/1997,10.549
11/1/1997,12.167
12/1/1997,13.663
