Date,Temp,Country
1/1/1980,21.092,Peru
2/1/1980,21.282,Peru
3/1/1980,20.921,Peru
4/1/1980,20.804,Peru
5/1/1980,20.253,Peru
6/1/1980,19.506,Peru
7/1/1980,19.138,Peru
8/1/1980,19.666,Peru
9/1/1980,20.043,Peru
10/1/1980,19.921,Peru
11/1/1980,20.568,Peru
12/1/1980,20.797,Peru
1/1/1981,20.526,Peru
2/1/1981,20.416,Peru
3/1/1981,20.957,Peru
4/1/1981,20.475,Peru
5/1/1981,20.156,Peru
6/1/1981,19.19,Peru
7/1/1981,18.555,Peru
8/1/1981,19.424,Peru
9/1/1981,19.577,Peru
10/1/1981,20.126,Peru
11/1/1981,20.633,Peru
12/1/1981,20.486,Peru
1/1/1982,20.394,Peru
2/1/1982,20.64,Peru
3/1/1982,20.691,Peru
4/1/1982,20.159,Peru
5/1/1982,19.824,Peru
6/1/1982,19.341,Peru
7/1/1982,19.365,Peru
8/1/1982,19.695,Peru
9/1/1982,20.219,Peru
10/1/1982,20.393,Peru
11/1/1982,21.004,Peru
12/1/1982,21.522,Peru
1/1/1983,22.245,Peru
2/1/1983,22.197,Peru
3/1/1983,22.238,Peru
4/1/1983,21.562,Peru
5/1/1983,21.182,Peru
6/1/1983,20.022,Peru
7/1/1983,20.31,Peru
8/1/1983,20.543,Peru
9/1/1983,20.48,Peru
10/1/1983,20.503,Peru
11/1/1983,21.045,Peru
12/1/1983,20.74,Peru
1/1/1984,20.165,Peru
2/1/1984,19.989,Peru
3/1/1984,20.67,Peru
4/1/1984,20.248,Peru
5/1/1984,20.282,Peru
6/1/1984,19.371,Peru
7/1/1984,19.228,Peru
8/1/1984,19.509,Peru
9/1/1984,20.209,Peru
10/1/1984,20.757,Peru
11/1/1984,20.35,Peru
12/1/1984,20.716,Peru
1/1/1985,20.759,Peru
2/1/1985,20.461,Peru
3/1/1985,21.044,Peru
4/1/1985,20.38,Peru
5/1/1985,19.764,Peru
6/1/1985,18.851,Peru
7/1/1985,18.631,Peru
8/1/1985,19.222,Peru
9/1/1985,19.839,Peru
10/1/1985,20.439,Peru
11/1/1985,20.356,Peru
12/1/1985,20.635,Peru
1/1/1986,20.639,Peru
2/1/1986,20.319,Peru
3/1/1986,20.219,Peru
4/1/1986,20.497,Peru
5/1/1986,19.945,Peru
6/1/1986,19.325,Peru
7/1/1986,18.694,Peru
8/1/1986,19.72,Peru
9/1/1986,20.06,Peru
10/1/1986,20.293,Peru
11/1/1986,20.923,Peru
12/1/1986,20.98,Peru
1/1/1987,21.146,Peru
2/1/1987,21.457,Peru
3/1/1987,21.842,Peru
4/1/1987,21.172,Peru
5/1/1987,20.289,Peru
6/1/1987,19.786,Peru
7/1/1987,19.875,Peru
8/1/1987,20.194,Peru
9/1/1987,20.82,Peru
