Date,Temp
1/1/1980,22.622
2/1/1980,22.722
3/1/1980,21.573
4/1/1980,17.466
5/1/1980,14.279
6/1/1980,11.136
7/1/1980,11.364
8/1/1980,13.843
9/1/1980,15.459
10/1/1980,18.922
11/1/1980,19.696
12/1/1980,22.236
1/1/1981,22.822
2/1/1981,22.269
3/1/1981,19.838
4/1/1981,17.955
5/1/1981,14.516
6/1/1981,10.636
7/1/1981,11.165
8/1/1981,11.539
9/1/1981,14.657
10/1/1981,16.818
11/1/1981,21.295
12/1/1981,21.879
1/1/1982,22.918
2/1/1982,23.281
3/1/1982,20.961
4/1/1982,16.198
5/1/1982,14.484
6/1/1982,11.365
7/1/1982,11.356
8/1/1982,13.409
9/1/1982,17.672
10/1/1982,18.739
11/1/1982,20.106
12/1/1982,22.536
1/1/1983,24.65
2/1/1983,22.966
3/1/1983,21.819
4/1/1983,19.546
5/1/1983,14.373
6/1/1983,11.963
7/1/1983,11.519
8/1/1983,12.508
9/1/1983,16.987
10/1/1983,18.774
11/1/1983,20.693
12/1/1983,22.645
1/1/1984,23.57
2/1/1984,23.866
3/1/1984,21.937
4/1/1984,17.636
5/1/1984,14.126
6/1/1984,11.51
7/1/1984,11.361
8/1/1984,13.537
9/1/1984,16.864
10/1/1984,18.652
11/1/1984,20.613
12/1/1984,21.946
1/1/1985,23.821
2/1/1985,22.848
3/1/1985,20.495
4/1/1985,17.748
5/1/1985,14.266
6/1/1985,11.882
7/1/1985,11.127
8/1/1985,14.459
9/1/1985,16.608
10/1/1985,19.923
11/1/1985,21.983
12/1/1985,21.513
1/1/1986,23.359
2/1/1986,22.306
3/1/1986,21.027
4/1/1986,18.443
5/1/1986,15.461
6/1/1986,11.838
7/1/1986,11.337
8/1/1986,13.868
9/1/1986,16.486
10/1/1986,18.435
11/1/1986,19.966
12/1/1986,22.934
1/1/1987,23.283
2/1/1987,24.017
3/1/1987,21.778
4/1/1987,18.965
5/1/1987,16.321
6/1/1987,11.129
7/1/1987,10.899
8/1/1987,13.068
9/1/1987,15.495
10/1/1987,18.459
11/1/1987,21.18
12/1/1987,22.649
1/1/1988,23.918
2/1/1988,23.175
3/1/1988,21.605
4/1/1988,16.774
5/1/1988,14.848
6/1/1988,10.764
7/1/1988,11.287
8/1/1988,14.283
9/1/1988,15.903
10/1/1988,17.453
11/1/1988,20.307
12/1/1988,21.229
1/1/1989,22.731
2/1/1989,21.225
3/1/1989,20.808
4/1/1989,17.318
5/1/1989,14.842
6/1/1989,11.037
7/1/1989,10.767
8/1/1989,14.166
9/1/1989,15.848
10/1/1989,17.572
11/1/1989,20.058
12/1/1989,22.502
1/1/1990,23.395
2/1/1990,22.114
3/1/1990,21.006
4/1/1990,17.792
5/1/1990,14.281
6/1/1990,11.061
7/1/1990,11.288
8/1/1990,13.217
9/1/1990,16.548
10/1/1990,18.594
11/1/1990,21.08
12/1/1990,22.364
1/1/1991,23.171
2/1/1991,22.699
3/1/1991,20.817
4/1/1991,18.229
5/1/1991,15.031
6/1/1991,11.005
7/1/1991,11.215
8/1/1991,12.536
9/1/1991,16.434
10/1/1991,18.792
11/1/1991,20.884
12/1/1991,22.211
1/1/1992,24.022
2/1/1992,23.965
3/1/1992,21.768
4/1/1992,19.006
5/1/1992,14.709
6/1/1992,11.501
7/1/1992,11.758
8/1/1992,12.626
9/1/1992,17.519
10/1/1992,18.765
11/1/1992,20.478
12/1/1992,22.957
1/1/1993,24.016
2/1/1993,22.268
3/1/1993,21.622
4/1/1993,17.501
5/1/1993,14.703
6/1/1993,11.448
7/1/1993,12.823
8/1/1993,13.624
9/1/1993,17.656
10/1/1993,19.557
11/1/1993,20.766
12/1/1993,22.449
1/1/1994,22.482
2/1/1994,22.136
3/1/1994,21.092
4/1/1994,18.397
5/1/1994,14.495
6/1/1994,10.572
7/1/1994,10.108
8/1/1994,12.957
9/1/1994,17.157
10/1/1994,18.079
11/1/1994,21.172
12/1/1994,22.73
1/1/1995,23.848
2/1/1995,24.396
3/1/1995,21.329
4/1/1995,17.254
5/1/1995,14.553
6/1/1995,11.102
7/1/1995,10.67
8/1/1995,13.928
9/1/1995,17.318
10/1/1995,18.249
11/1/1995,20.896
12/1/1995,20.906
1/1/1996,23.259
2/1/1996,22.406
3/1/1996,20.403
4/1/1996,17.396
5/1/1996,14.827
6/1/1996,11.803
7/1/1996,9.457
8/1/1996,11.704
9/1/1996,15.882
10/1/1996,18.717
11/1/1996,19.322
12/1/1996,21.928
1/1/1997,22.747
2/1/1997,22.705
3/1/1997,20.302
4/1/1997,15.99
5/1/1997,13.377
6/1/1997,11.05
7/1/1997,11.268
8/1/1997,14.247
9/1/1997,17.426
10/1/1997,19.287
11/1/1997,20.168
12/1/1997,22.816
1/1/1998,22.694
2/1/1998,23.587
3/1/1998,21.803
4/1/1998,19.172
5/1/1998,14.465
6/1/1998,12.004
7/1/1998,11.973
8/1/1998,13.617
9/1/1998,16.606
10/1/1998,18.673
11/1/1998,20.556
12/1/1998,21.994
1/1/1999,23.63
2/1/1999,23.621
3/1/1999,22.894
4/1/1999,18.999
5/1/1999,14.86
6/1/1999,12.529
