Date,Temp,Country
1/1/1980,-1.468,South Korea
2/1/1980,-1.381,South Korea
3/1/1980,5.559,South Korea
4/1/1980,10.364,South Korea
5/1/1980,16.659,South Korea
6/1/1980,21.613,South Korea
7/1/1980,22.631,South Korea
8/1/1980,22.115,South Korea
9/1/1980,18.96,South Korea
10/1/1980,12.928,South Korea
11/1/1980,8.708,South Korea
12/1/1980,-1.525,South Korea
1/1/1981,-4.78,South Korea
2/1/1981,-0.369,South Korea
3/1/1981,6.023,South Korea
4/1/1981,11.891,South Korea
5/1/1981,16.241,South Korea
6/1/1981,20.826,South Korea
7/1/1981,25.635,South Korea
8/1/1981,24.2,South Korea
9/1/1981,19.259,South Korea
10/1/1981,12.951,South Korea
11/1/1981,4.813,South Korea
12/1/1981,1.001,South Korea
1/1/1982,-1.712,South Korea
2/1/1982,0.984,South Korea
3/1/1982,6.363,South Korea
4/1/1982,11.514,South Korea
5/1/1982,17.849,South Korea
6/1/1982,21.034,South Korea
7/1/1982,23.893,South Korea
8/1/1982,25.169,South Korea
9/1/1982,19.548,South Korea
10/1/1982,14.956,South Korea
11/1/1982,8.763,South Korea
12/1/1982,1.277,South Korea
1/1/1983,-0.51,South Korea
2/1/1983,-0.606,South Korea
3/1/1983,5.973,South Korea
4/1/1983,12.879,South Korea
5/1/1983,17.413,South Korea
6/1/1983,20.911,South Korea
7/1/1983,23.599,South Korea
8/1/1983,25.656,South Korea
9/1/1983,21.585,South Korea
10/1/1983,14.309,South Korea
11/1/1983,7.025,South Korea
12/1/1983,0.134,South Korea
1/1/1984,-3.945,South Korea
2/1/1984,-2.025,South Korea
3/1/1984,3.415,South Korea
4/1/1984,11.211,South Korea
5/1/1984,17.123,South Korea
6/1/1984,21.603,South Korea
7/1/1984,24.81,South Korea
8/1/1984,26.433,South Korea
9/1/1984,20.015,South Korea
10/1/1984,13.482,South Korea
11/1/1984,8.575,South Korea
12/1/1984,0.934,South Korea
1/1/1985,-3.662,South Korea
2/1/1985,1.27,South Korea
3/1/1985,5.245,South Korea
4/1/1985,11.572,South Korea
5/1/1985,17.448,South Korea
6/1/1985,20.714,South Korea
7/1/1985,25.344,South Korea
8/1/1985,26.295,South Korea
9/1/1985,20.992,South Korea
10/1/1985,14.892,South Korea
11/1/1985,7.088,South Korea
12/1/1985,-1.072,South Korea
1/1/1986,-3.033,South Korea
2/1/1986,-1.755,South Korea
3/1/1986,5.308,South Korea
4/1/1986,11.917,South Korea
5/1/1986,16.791,South Korea
6/1/1986,20.894,South Korea
7/1/1986,22.954,South Korea
8/1/1986,24.71,South Korea
9/1/1986,19.311,South Korea
10/1/1986,12.53,South Korea
11/1/1986,6.456,South Korea
