CatCodeIndustryID,CatCodeIndustry,Definition,CatCodeGroupID,IndustryTimestamp
1,Miscellaneous Agriculture,,1,8/25/2011 16:22
2,Crop Production & Basic Processing,,1,8/25/2011 16:22
3,Tobacco,,1,8/25/2011 16:22
4,Dairy,,1,8/25/2011 16:22
5,Poultry & Eggs,,1,8/25/2011 16:22
6,Livestock,,1,8/25/2011 16:22
7,Agricultural Services & Products,,1,8/25/2011 16:22
8,Commodity Brokers & Dealers,,1,8/25/2011 16:22
9,Forestry & Forest Products,,1,8/25/2011 16:22
10,Farm Bureau,,1,8/25/2011 16:22
11,General Contractors,,2,8/25/2011 16:22
12,Home Builders,,2,8/25/2011 16:22
13,Special Trade Contractors,,2,8/25/2011 16:22
14,Construction Services,,2,8/25/2011 16:22
15,Building Materials & Equipment,,2,8/25/2011 16:22
16,Miscellaneous Communications & Electronics,,3,8/25/2011 16:22
17,Printing & Publishing,,3,8/25/2011 16:22
18,TV & Movie Production/Distribution,,3,8/25/2011 16:22
19,Cable TV,,3,8/25/2011 16:22
20,Recorded Music Production,,3,8/25/2011 16:22
21,Movie Theaters,,3,8/25/2011 16:22
22,"Bands, Orchestras & Other Live Music Production",,3,1/22/2013 14:19
23,Live Theater/Other Entertainment Productions,,3,8/25/2011 16:22
24,Telecom Services & Equipment,,3,8/25/2011 16:22
25,Telephone Utilities,,3,8/25/2011 16:22
26,Electronics Manufacturing & Services,,3,8/25/2011 16:22
27,Computer Equipment & Services,,3,8/25/2011 16:22
28,Miscellaneous Defense,,4,8/25/2011 16:22
29,Defense Aerospace,,4,8/25/2011 16:22
30,Defense Electronics,,4,8/25/2011 16:22
31,Miscellaneous Energy & Natural Resources,,5,8/25/2011 16:22
32,Miscellaneous Energy,,5,8/25/2011 16:22
33,Oil & Gas,,5,8/25/2011 16:22
34,Mining,,5,8/25/2011 16:22
35,Nuclear Energy,,5,8/25/2011 16:22
36,Electric Utilities,,5,8/25/2011 16:22
37,Environmental Services & Equipment,,5,8/25/2011 16:22
38,Waste Management,,5,8/25/2011 16:22
39,Fisheries & Wildlife,,5,8/25/2011 16:22
40,Commercial Fishing,,5,8/25/2011 16:22
41,Hunting,,5,8/25/2011 16:22
42,Water Utilities,,5,8/25/2011 16:22
43,"Miscellaneous Finance, Insurance & Real Estate",,6,1/22/2013 14:19
44,Banks & Lending Institutions,,6,8/25/2011 16:22
45,Commercial Banks,,6,8/25/2011 16:22
46,Savings & Loans,,6,8/25/2011 16:22
47,Credit Unions,,6,8/25/2011 16:22
48,Finance & Credit Companies,,6,8/25/2011 16:22
49,Securities & Investment,,6,8/25/2011 16:22
50,Insurance,,6,8/25/2011 16:22
51,Real Estate,,6,8/25/2011 16:22
52,Miscellaneous Finance,,6,8/25/2011 16:22
53,Accountants,,6,8/25/2011 16:22
54,Business Associations,,7,8/25/2011 16:22
55,Food Processing & Sales,,1,8/25/2011 16:22
56,Food & Beverage,,7,8/25/2011 16:22
57,"Beer, Wine & Liquor",,7,8/25/2011 16:22
58,Miscellaneous Business,,7,8/25/2011 16:22
