distance,corridorRB,beginMi,endMi,roadway,from,to,startLat,startLong,endLat,endLong,order
0.000559, C005241E,0.409,0.031, N River Road, Jct P-10 15Th St N, End Concrete,47.522984,-111.281729,47.522476,-111.289776,1
0.000562, C005205N,2.915,3.363, River Dr. \\ 57th Street, Start Concrete, End Concrete,47.517684,-111.291882,47.519459,-111.282726,2
0.000854, C003457N,0,0.574, 34TH ST NW, Jct Central Ave, Interstate 15,47.508965,-111.370697,47.517122,-111.369843,3
0.001033, C005239N,0.354,0, 16th Ave. NW \\ Division, Jct Smelter Ave, Jct 3rd ST NW,47.524576,-111.310351,47.519963,-111.309186,4
0.001067, C005241E,0.031,0.409, N River Road, End Concrete, Jct P-10 15Th St N,47.522476,-111.289776,47.522984,-111.281729,5
0.001067, C005241E,0.031,0, N River Road, End Concrete, Jct N-104 10Th St N,47.522476,-111.289776,47.522399,-111.290428,6
0.001144, C005241E,0,0.031, N River Road, Jct N-104 10Th St N, End Concrete,47.522399,-111.290428,47.522476,-111.289776,7
0.001149, C005210E,0,6.095, 37th St \\ 2nd Ave N +, Jct I-15 Central Ave Int, Jct N-102 57th St N,47.507816,-111.316719,47.5071,-111.215497,8
0.001158, C005210E,0,6.095, Central \\ 1st Ave N +, Jct I-15 Central Ave Int, Jct N-102 57th St N,47.507807,-111.31672,47.507091,-111.215497,9
0.001287, C005221N,1.388,0, Giant Springs Road, 2nd Ent Giants State Prk, Jct N-102 River Dr,47.53495,-111.224779,47.521955,-111.246046,10
0.001335, C005201N,1.866,0, 6th Street SW/NW Smelter, End 4 lane, Jct. P-60,47.515787,-111.324075,47.490049,-111.328825,11
0.001865, C005210E,6.095,4.719, Central \\ 1st Ave N +, Jct N-102 57th St N, end decreasing 37th,47.5071,-111.215497,47.506159,-111.243267,12
0.001874, C005210E,6.095,4.719, Central \\ 1st Ave N +, Jct N-102 57th St N, 37th St N End One Way,47.507091,-111.215497,47.506159,-111.243254,13
0.002013, C005205N,7.464,8.42, River Dr. \\ 57th Street, Start 4 lane, End 4 lane,47.506952,-111.215468,47.493325,-111.21566,14
0.002337, C005205N,3.363,8.42, River Dr. \\ 57th Street, End Concrete, Jct N-60,47.519459,-111.282725,47.493329,-111.215672,15
0.002394, C005220S,4.267,0, Fox Farm Road, End Of Route, Jct N-60 10th Ave S,47.428412,-111.326683,47.490056,-111.328786,16
